k,retriever,task,target_metric,QPP_Method,Spearman,Kendall
2,bm25,nq,f1,nqc,0.061,0.0467
2,bm25,nq,f1,maxScore,0.1609,0.1235
2,bm25,nq,f1,spatial,0.2166,0.1659
2,bm25,nq,f1,a_ratio,0.1353,0.104
2,bm25,nq,f1,bertQPP,0.2079,0.1594
2,bm25,nq,f1,prob(k),0.3037,0.2325
2,bm25,nq,f1,max(perpC),0.1362,0.1044
2,bm25,nq,f1,min(perpC),0.1117,0.0858
2,bm25,nq,f1,avg(perpC),0.1348,0.1034
2,bm25,nq,f1,itg(perpC),0.1293,0.0993
2,bm25,nq,f1,max(docQual),0.0785,0.0603
2,bm25,nq,f1,min(docQual),0.0588,0.0452
2,bm25,nq,f1,avg(docQual),0.0745,0.0569
2,bm25,nq,f1,itg(docQual),0.0266,0.0204
2,bm25,nq,f1,itg(Dale Chall),0.1203,0.0922
2,bm25,nq,f1,itg(Spache),0.1004,0.0769
2,bm25,nq,f1,itg(Flesch-Kincaid),0.0559,0.0426
2,bm25,nq,f1,itg(Flesch),-0.0435,-0.0328
2,bm25,nq,f1,itg(Gunning Fog),0.0425,0.0325
2,bm25,nq,f1,itg(Coleman Liau),-0.0111,-0.0082
2,bm25,nq,f1,itg(ARI),0.0284,0.0218
2,bm25,nq,f1,itg(Linsear Write),0.0538,0.0411
2,bm25,nq,utility,nqc,0.0694,0.0517
2,bm25,nq,utility,maxScore,0.1485,0.1103
2,bm25,nq,utility,spatial,0.1739,0.1291
2,bm25,nq,utility,a_ratio,0.1565,0.1166
2,bm25,nq,utility,bertQPP,0.1898,0.1416
2,bm25,nq,utility,prob(k),0.1468,0.1095
2,bm25,nq,utility,max(perpC),0.0935,0.0687
2,bm25,nq,utility,min(perpC),0.0649,0.0478
2,bm25,nq,utility,avg(perpC),0.086,0.0634
2,bm25,nq,utility,itg(perpC),0.0884,0.0653
2,bm25,nq,utility,max(docQual),0.0553,0.0412
2,bm25,nq,utility,min(docQual),0.0328,0.0244
2,bm25,nq,utility,avg(docQual),0.0462,0.0341
2,bm25,nq,utility,itg(docQual),0.0058,0.0042
2,bm25,nq,utility,itg(Dale Chall),0.0692,0.0511
2,bm25,nq,utility,itg(Spache),0.0392,0.0288
2,bm25,nq,utility,itg(Flesch-Kincaid),-0.0091,-0.0069
2,bm25,nq,utility,itg(Flesch),0.0173,0.013
2,bm25,nq,utility,itg(Gunning Fog),-0.0041,-0.003
2,bm25,nq,utility,itg(Coleman Liau),-0.0513,-0.0381
2,bm25,nq,utility,itg(ARI),-0.0272,-0.02
2,bm25,nq,utility,itg(Linsear Write),-0.0065,-0.0048
2,bm25,dl,f1,nqc,-0.0089,0.0009
2,bm25,dl,f1,maxScore,0.107,0.0765
2,bm25,dl,f1,spatial,0.3492,0.2427
2,bm25,dl,f1,a_ratio,0.0082,0.003
2,bm25,dl,f1,bertQPP,0.1523,0.1065
2,bm25,dl,f1,prob(k),0.4058,0.2912
2,bm25,dl,f1,max(perpC),0.0501,0.0251
2,bm25,dl,f1,min(perpC),0.1403,0.0896
2,bm25,dl,f1,avg(perpC),0.0955,0.0554
2,bm25,dl,f1,itg(perpC),0.1951,0.1285
2,bm25,dl,f1,max(docQual),0.3128,0.2186
2,bm25,dl,f1,min(docQual),0.2552,0.1792
2,bm25,dl,f1,avg(docQual),0.3132,0.227
2,bm25,dl,f1,itg(docQual),0.1776,0.1183
2,bm25,dl,utility,nqc,0.0302,0.0159
2,bm25,dl,utility,maxScore,0.0651,0.0434
2,bm25,dl,utility,spatial,0.314,0.2113
2,bm25,dl,utility,a_ratio,0.1137,0.0756
2,bm25,dl,utility,bertQPP,0.2855,0.2049
2,bm25,dl,utility,prob(k),0.2742,0.1963
2,bm25,dl,utility,max(perpC),-0.1003,-0.0681
2,bm25,dl,utility,min(perpC),0.0225,0.0088
2,bm25,dl,utility,avg(perpC),-0.0523,-0.0331
2,bm25,dl,utility,itg(perpC),0.0717,0.0451
2,bm25,dl,utility,max(docQual),0.3298,0.2316
2,bm25,dl,utility,min(docQual),0.2823,0.183
2,bm25,dl,utility,avg(docQual),0.3438,0.2352
2,bm25,dl,utility,itg(docQual),0.1982,0.1312
2,mt5,nq,f1,nqc,-0.1288,-0.0985
2,mt5,nq,f1,maxScore,0.2218,0.1691
2,mt5,nq,f1,spatial,0.2992,0.2281
2,mt5,nq,f1,a_ratio,-0.0483,-0.0368
2,mt5,nq,f1,bertQPP,0.1641,0.1246
2,mt5,nq,f1,prob(k),0.2579,0.1954
