Prediction Name,QA Task,Retriever,Top-Retrieved Docs,Use_Postgen,Combination_Number,Rho,Tau,Best Single Signal,Best Single Rho,Best Single Tau
GPP,nq,e5,3,False,0,0.2793402060122676,0.2122330694919409,maxScore,0.2233,0.1684
GPP,nq,e5,3,False,1,0.2909768142157835,0.2208707807657186,maxScore,0.2233,0.1684
GPP,nq,e5,3,False,2,0.292221772871259,0.2218019741626075,maxScore,0.2233,0.1684
GPP,nq,e5,3,False,3,0.2939450998625231,0.2230645147306738,maxScore,0.2233,0.1684
GPP,nq,e5,3,False,4,0.2908948870226985,0.2209570574702227,maxScore,0.2233,0.1684
GPP,nq,e5,3,False,5,0.2886303468851262,0.219280611849945,maxScore,0.2233,0.1684
GPP,nq,mt5,3,False,0,0.1848373770645145,0.1404271605614319,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,1,0.2296824545373766,0.1750711881174961,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,2,0.2315934824535098,0.1764526253778076,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,3,0.2333784345934799,0.1776908164762428,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,4,0.2438519735236212,0.1859987159068604,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,5,0.239823184740763,0.1829262936116286,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,0,0.2801583092308409,0.213837605878271,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,1,0.2809095507344741,0.2144272206870497,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,2,0.2839606704522139,0.2166643553365117,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,3,0.2977885716558927,0.2268155569609842,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,4,0.3006199065367717,0.2290012892937835,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,5,0.2841346980901213,0.2165800706555133,maxScore,0.2386,0.182
GPP,nq,bm25,3,False,0,0.2562469333027465,0.1962275570453327,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,1,0.2573831202062929,0.1970608193027697,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,2,0.2603079867072352,0.1992478376640031,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,3,0.263786243121932,0.2018853212210653,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,4,0.2706436154168641,0.2075780997220632,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,5,0.265614610423686,0.2037300647173458,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,True,0,0.3665484220775225,0.2807245988788033,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,1,0.3679724265315354,0.2818163376721876,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,2,0.3686230532444378,0.2822852935791115,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,3,0.3680269793025358,0.2820185552360792,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,4,0.3710696530118409,0.2845214893634703,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,5,0.371174136075136,0.284484901360665,prob(k),0.3078,0.2346
GPP,nq,bm25,3,False,2,0.263786243121932,0.2018853212210653,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,3,0.2706436154168641,0.2075780997220632,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,4,0.265614610423686,0.2037300647173458,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,True,2,0.3680269793025358,0.2820185552360792,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,3,0.3710696530118409,0.2845214893634703,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,4,0.371174136075136,0.284484901360665,prob(k),0.3078,0.2346
GPP,nq,bm25,3,False,2,0.2647523543282786,0.202681995475697,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,3,0.2635942372862987,0.2019447275482008,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,12,0.263786243121932,0.2018853212210653,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,13,0.2641927757016573,0.2025403644970958,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,False,23,0.2689059300984463,0.2061755596145264,bertQPP,0.2113,0.1617
GPP,nq,bm25,3,True,2,0.368328109843371,0.2822447713824562,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,3,0.3690529676465784,0.2826645498662547,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,12,0.3680269793025358,0.2820185552360792,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,13,0.3703967741043208,0.2838129410510793,prob(k),0.3078,0.2346
GPP,nq,bm25,3,True,23,0.3696954178220304,0.2834387992159412,prob(k),0.3078,0.2346
GPP,nq,mt5,3,False,2,0.2941506803712547,0.2240908562196475,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,3,0.2847665920898396,0.2170589437085405,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,12,0.2977885716558927,0.2268155569609842,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,13,0.284767901286352,0.217055164126433,maxScore,0.2386,0.182
GPP,nq,mt5,3,False,23,0.2997610164086463,0.2283205865562128,maxScore,0.2386,0.182
GPP,nq,mt5,3,True,0,0.3586423411405706,0.2723394895718575,prob(k),0.2683,0.2029
GPP,nq,mt5,3,True,1,0.3586146201171523,0.2723300406165886,prob(k),0.2683,0.2029
GPP,nq,mt5,3,True,2,0.3660179113507409,0.2778334901234002,prob(k),0.2683,0.2029
GPP,nq,mt5,3,True,3,0.3592655402401117,0.2732412978627203,prob(k),0.2683,0.2029
GPP,nq,mt5,3,True,12,0.367155772142182,0.2786264464495653,prob(k),0.2683,0.2029
GPP,nq,mt5,3,True,13,0.3592599163476091,0.2732352505313482,prob(k),0.2683,0.2029
GPP,nq,mt5,3,True,23,0.3670491706814154,0.2790399327321319,prob(k),0.2683,0.2029
GPP,nq,mt5,3,False,123,0.3011220332214225,0.2293637512178981,maxScore,0.2386,0.182
GPP,nq,mt5,3,True,123,0.3677901287802043,0.2795206955762129,prob(k),0.2683,0.2029
GPP,nq,e5,3,False,2,0.2854665496057796,0.2167700341253454,maxScore,0.2233,0.1684
GPP,nq,e5,3,False,3,0.2787722411907791,0.2117856950284994,maxScore,0.2233,0.1684
GPP,nq,e5,3,False,12,0.2939450998625231,0.2230645147306738,maxScore,0.2233,0.1684
GPP,nq,e5,3,False,13,0.2866241581359255,0.2176681299933514,maxScore,0.2233,0.1684
GPP,nq,e5,3,False,23,0.2826350986314087,0.2146807990998973,maxScore,0.2233,0.1684
GPP,nq,e5,3,False,123,0.2891885236520352,0.2195862991391793,maxScore,0.2233,0.1684
GPP,nq,e5,3,True,0,0.3806422260060739,0.2893789467301278,prob(k),0.2919,0.2206
GPP,nq,e5,3,True,1,0.3856881216287185,0.2931602464344277,prob(k),0.2919,0.2206
GPP,nq,e5,3,True,2,0.3796747554943037,0.2886433634477611,prob(k),0.2919,0.2206
GPP,nq,e5,3,True,3,0.3781747773535806,0.2879643062821383,prob(k),0.2919,0.2206
GPP,nq,e5,3,True,12,0.3843233945193368,0.2920449712757735,prob(k),0.2919,0.2206
GPP,nq,e5,3,True,13,0.3830383501552797,0.2917430028100092,prob(k),0.2919,0.2206
GPP,nq,e5,3,True,23,0.3771260777513522,0.2871335211189396,prob(k),0.2919,0.2206
GPP,nq,e5,3,True,123,0.3814211551189204,0.2903265029502848,prob(k),0.2919,0.2206
GPP,nq,bm25,3,False,123,0.2690943113719164,0.2063128629798926,bertQPP,0.2113,0.1617
