qid,qpp_estimate,parameters,qpp_method
test_0,1586.474609375,{'k': 3},spatial
test_1,1602.685791015625,{'k': 3},spatial
test_10,1607.4012451171875,{'k': 3},spatial
test_100,1532.0379638671875,{'k': 3},spatial
test_1000,1673.404296875,{'k': 3},spatial
test_1001,1531.855712890625,{'k': 3},spatial
test_1002,1449.3214111328125,{'k': 3},spatial
test_1003,1664.5611572265625,{'k': 3},spatial
test_1004,1576.52880859375,{'k': 3},spatial
test_1005,1570.2421875,{'k': 3},spatial
test_1006,1406.8333740234375,{'k': 3},spatial
test_1007,1569.0439453125,{'k': 3},spatial
test_1008,1593.207763671875,{'k': 3},spatial
test_1009,1352.9393310546875,{'k': 3},spatial
test_101,1523.755126953125,{'k': 3},spatial
test_1010,1659.4393310546875,{'k': 3},spatial
test_1011,1616.087158203125,{'k': 3},spatial
test_1012,1584.6419677734375,{'k': 3},spatial
test_1013,1655.94482421875,{'k': 3},spatial
test_1014,1771.025146484375,{'k': 3},spatial
test_1015,1504.9267578125,{'k': 3},spatial
test_1016,1374.3109130859375,{'k': 3},spatial
test_1017,1468.833251953125,{'k': 3},spatial
test_1018,1518.841552734375,{'k': 3},spatial
test_1019,1545.6435546875,{'k': 3},spatial
test_102,1561.06396484375,{'k': 3},spatial
test_1020,1380.876708984375,{'k': 3},spatial
test_1021,1510.2904052734375,{'k': 3},spatial
test_1022,1651.6187744140625,{'k': 3},spatial
test_1023,1438.781005859375,{'k': 3},spatial
test_1024,1456.162109375,{'k': 3},spatial
test_1025,1453.013916015625,{'k': 3},spatial
test_1026,1427.207763671875,{'k': 3},spatial
test_1027,1350.8486328125,{'k': 3},spatial
test_1028,1527.416015625,{'k': 3},spatial
test_1029,1392.430908203125,{'k': 3},spatial
test_103,1587.486083984375,{'k': 3},spatial
test_1030,1550.4521484375,{'k': 3},spatial
test_1031,1736.389404296875,{'k': 3},spatial
test_1032,1629.983642578125,{'k': 3},spatial
test_1033,1695.985595703125,{'k': 3},spatial
test_1034,1637.9996337890625,{'k': 3},spatial
test_1035,1464.74169921875,{'k': 3},spatial
test_1036,1514.36572265625,{'k': 3},spatial
test_1037,1373.912109375,{'k': 3},spatial
test_1038,1802.265625,{'k': 3},spatial
test_1039,1470.2694091796875,{'k': 3},spatial
test_104,1691.052978515625,{'k': 3},spatial
test_1040,1418.91845703125,{'k': 3},spatial
test_1041,1448.8302001953125,{'k': 3},spatial
test_1042,1584.776611328125,{'k': 3},spatial
test_1043,1516.075927734375,{'k': 3},spatial
test_1044,1543.428955078125,{'k': 3},spatial
