retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries
mt5,5,spatial,2,0.0,0.1299014002434332,0.20473510498919797,0.10352233676975947,0.1330387570764664,97
mt5,5,a_ratio,2,0.0,0.19435010458020563,0.05645021948238176,0.04982817869415808,0.4696411010880063,97
mt5,5,nqc,2,0.0,0.10605286136597529,0.301193162340126,0.013745704467353953,0.841898479106889,97
mt5,5,spatial,2,0.1,0.15048993920430725,0.14120104475034476,0.1254295532646048,0.06874005870255491,97
mt5,5,a_ratio,2,0.1,0.19527309736900525,0.05526576364859842,0.02405498281786942,0.7270405431127746,97
mt5,5,nqc,2,0.1,0.103966160784515,0.3108580215905068,0.014175257731958766,0.8370260449777805,97
mt5,5,spatial,2,0.2,0.16868582169443455,0.09859895045800908,0.13487972508591067,0.050317249987351625,97
mt5,5,a_ratio,2,0.2,0.19551766046345317,0.05495536085294962,0.02061855670103093,0.7647885664914993,97
mt5,5,nqc,2,0.2,0.10306332822560495,0.3151013461336898,0.00859106529209622,0.9007879306638119,97
mt5,5,spatial,2,0.30000000000000004,0.18456142585101715,0.07033680424022443,0.14475945017182132,0.035674068768179766,97
mt5,5,a_ratio,2,0.30000000000000004,0.19563063913843426,0.05481245059735971,0.018900343642611686,0.783880730258208,97
mt5,5,nqc,2,0.30000000000000004,0.10256239879249814,0.3174718004987295,0.008161512027491411,0.9057247746831294,97
mt5,5,spatial,2,0.4,0.19828427423672054,0.051542538064280906,0.1512027491408935,0.028226597294347726,97
mt5,5,a_ratio,2,0.4,0.19569570284856697,0.05473028796035565,0.01718213058419244,0.8031038928688624,97
mt5,5,nqc,2,0.4,0.10224428963953403,0.31898308573657846,0.006443298969072166,0.9255067132095164,97
mt5,5,spatial,2,0.5,0.21007268583932448,0.03889838782647623,0.14905498281786944,0.030544557732034724,97
mt5,5,a_ratio,2,0.5,0.19573799723285226,0.05467693272030464,0.015034364261168387,0.8273000875464372,97
mt5,5,nqc,2,0.5,0.10202446783432122,0.32003012694078375,0.007302405498281788,0.9156092108578661,97
mt5,5,spatial,2,0.6000000000000001,0.22016220466563727,0.03024255662071365,0.1585051546391753,0.021443192891173694,97
mt5,5,a_ratio,2,0.6000000000000001,0.19576769377086214,0.05463949544035811,0.017611683848797254,0.7982864258103413,97
mt5,5,nqc,2,0.6000000000000001,0.10186351153935952,0.32079818469272026,0.0047250859106529215,0.9453348196600103,97
mt5,5,spatial,2,0.7000000000000001,0.22878345096779823,0.02419430322476381,0.1658075601374571,0.016125841537736958,97
mt5,5,a_ratio,2,0.7000000000000001,0.19578969112150493,0.05461177779539493,0.015463917525773198,0.8224469251562028,97
mt5,5,nqc,2,0.7000000000000001,0.10174058150074272,0.32138558489484564,0.0034364261168384883,0.9602288348688062,97
mt5,5,spatial,2,0.8,0.2361494505932,0.01987547621621427,0.1597938144329897,0.02040649882574069,97
