retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries,with_0shot_posterior
mt5,3,spatial,2,0.0,0.2902846878374204,0.003922970004373455,0.18084192439862545,0.008684754281086702,97,False
mt5,3,spatial,2,0.0,0.26535429986624426,0.008618538984371022,0.202319587628866,0.003325969220576063,97,True
mt5,3,a_ratio,2,0.0,0.09803737257445763,0.3394043292597756,-0.013316151202749144,0.846776975027774,97,False
mt5,3,a_ratio,2,0.0,0.14969969433654243,0.14332557850539354,0.036512027491408944,0.5962292897960457,97,True
mt5,3,nqc,2,0.0,0.15442839842392095,0.13096637688415508,-0.07946735395189004,0.2488442983857856,97,False
mt5,3,nqc,2,0.0,0.15472678452241714,0.13021468015154855,-0.0734536082474227,0.28647120739097054,97,True
mt5,3,bertQPP,2,0.0,0.20736116382374883,0.04154956735525624,0.16838487972508595,0.01454739544260673,97,False
mt5,3,bertQPP,2,0.0,0.26026210183363074,0.010036014791192966,0.21434707903780073,0.0018682268943729797,97,True
mt5,3,bertQPP(QV),2,0.0,0.1425608869433298,0.16362395549528624,0.11984536082474227,0.08201867152410211,97,False
mt5,3,bertQPP(QV),2,0.0,0.2107320277065453,0.03827554609004534,0.17353951890034366,0.011793812186781842,97,True
mt5,3,spatial,2,0.05,0.2955497205420642,0.0032922297727466555,0.18213058419243988,0.008219435652041644,97,False
mt5,3,spatial,2,0.05,0.2655273982936235,0.00857361860477823,0.2014604810996564,0.0034621026042757834,97,True
mt5,3,a_ratio,2,0.05,0.09855268644969618,0.3368594762986383,-0.01245704467353952,0.8565514226103272,97,False
mt5,3,a_ratio,2,0.05,0.15031595990979546,0.14166672231608193,0.03908934707903781,0.5705575497769013,97,True
mt5,3,nqc,2,0.05,0.18943582690585878,0.06311151910187496,0.10996563573883163,0.110550087489207,97,False
mt5,3,nqc,2,0.05,0.20759516667923072,0.04131498801817543,0.14218213058419246,0.039091423487606906,97,True
mt5,3,bertQPP,2,0.05,0.21323633642187786,0.035985385804441536,0.1666666666666667,0.01558372473088864,97,False
mt5,3,bertQPP,2,0.05,0.26589822777823807,0.008478078190513393,0.2216494845360825,0.001298168853613724,97,True
mt5,3,bertQPP(QV),2,0.05,0.14899481128321546,0.14524090601529685,0.12757731958762888,0.06412770883743656,97,False
mt5,3,bertQPP(QV),2,0.05,0.21777889907057754,0.03212444420199674,0.18513745704467358,0.007219338175415614,97,True
mt5,3,spatial,2,0.1,0.2980326347273506,0.003027631515990817,0.19286941580756015,0.005130036782382208,97,False
mt5,3,spatial,2,0.1,0.2657088777065612,0.008526744593489071,0.20103092783505158,0.0035320539175627825,97,True
mt5,3,a_ratio,2,0.1,0.09912334265764944,0.33405544701469836,-0.013316151202749144,0.846776975027774,97,False
mt5,3,a_ratio,2,0.1,0.15099646596331232,0.13985185414387538,0.04209621993127149,0.541289833276998,97,True
mt5,3,nqc,2,0.1,0.1888620015849132,0.06392939362445868,0.11383161512027494,0.0985701799206937,97,False
mt5,3,nqc,2,0.1,0.21670529148803766,0.033003907009129245,0.14261168384879727,0.03850326567762371,97,True
mt5,3,bertQPP,2,0.1,0.2189364286550174,0.03119846092158881,0.1701030927835052,0.013572314777054699,97,False
mt5,3,bertQPP,2,0.1,0.27104248056688235,0.007246130647569365,0.22250859106529214,0.001242886914966472,97,True
mt5,3,bertQPP(QV),2,0.1,0.15554681438333695,0.12816582410178906,0.12714776632302408,0.06502915478137135,97,False
mt5,3,bertQPP(QV),2,0.1,0.22448068559895842,0.027069765502776878,0.18341924398625434,0.007776554495134835,97,True
mt5,3,spatial,2,0.15,0.297250459911048,0.00310884946702961,0.18943298969072167,0.005979808014005902,97,False
mt5,3,spatial,2,0.15,0.26589842089921684,0.00847802867995359,0.20360824742268044,0.003130893451622874,97,True
mt5,3,a_ratio,2,0.15,0.09975869606661154,0.3309509957434305,-0.010738831615120277,0.8761649965497997,97,False
mt5,3,a_ratio,2,0.15,0.151751713960037,0.1378583273102953,0.04209621993127149,0.541289833276998,97,True
mt5,3,nqc,2,0.15,0.17600144367407536,0.0846301872526787,0.1164089347079038,0.09117630712765404,97,False
mt5,3,nqc,2,0.15,0.20896801234964435,0.039960890173542686,0.14218213058419246,0.039091423487606906,97,True
mt5,3,bertQPP,2,0.15,0.22423278555296539,0.027243922545254963,0.17268041237113405,0.01221789425088413,97,False
mt5,3,bertQPP,2,0.15,0.27545952542330193,0.006317389700757284,0.22250859106529214,0.001242886914966472,97,True
mt5,3,bertQPP(QV),2,0.15,0.16204771927658335,0.11278569556032028,0.13058419243986258,0.05810246319620013,97,False
mt5,3,bertQPP(QV),2,0.15,0.23059058350731254,0.023066725306754694,0.18470790378006877,0.007355176256510775,97,True
mt5,3,spatial,2,0.2,0.29300212768632267,0.0035850858374293945,0.19587628865979384,0.004477722918252414,97,False
mt5,3,spatial,2,0.2,0.2660952195387612,0.008427707319229864,0.20403780068728525,0.00306822352558543,97,True
mt5,3,a_ratio,2,0.2,0.10047031650119512,0.32749576966909644,-0.010309278350515465,0.8810807858527536,97,False
mt5,3,a_ratio,2,0.2,0.1525945984900637,0.13565901409906037,0.043814432989690726,0.5249088158491623,97,True
mt5,3,nqc,2,0.2,0.1632229125341293,0.11016494401590922,0.11168384879725088,0.1050908480999539,97,False
mt5,3,nqc,2,0.2,0.19912219314501825,0.05054403366239461,0.14003436426116841,0.04214791401843269,97,True
mt5,3,bertQPP,2,0.2,0.22883139023240356,0.024163794755225333,0.1752577319587629,0.010984624932232429,97,False
mt5,3,bertQPP,2,0.2,0.2788833075393955,0.005671683148638305,0.2169243986254296,0.001644941169576058,97,True
mt5,3,bertQPP(QV),2,0.2,0.16826140114983168,0.09946187110810879,0.1314432989690722,0.05647001729864357,97,False
mt5,3,bertQPP(QV),2,0.2,0.23582715022843043,0.020049552163707157,0.18857388316151205,0.006211170636578692,97,True
mt5,3,spatial,2,0.25,0.28543567688132093,0.0045971936381943,0.1898625429553265,0.005867063974983271,97,False
mt5,3,spatial,2,0.25,0.26629768828131856,0.008376210638427146,0.20446735395189009,0.0030066996042901117,97,True
mt5,3,a_ratio,2,0.25,0.10127267789350067,0.32362770060991913,-0.009879725085910654,0.886001161240211,97,False
mt5,3,a_ratio,2,0.25,0.153541119295296,0.13322118714068135,0.04510309278350516,0.5127917901399865,97,True
mt5,3,nqc,2,0.25,0.15291012253888275,0.13484262217097454,0.11254295532646051,0.10244263799035044,97,False
mt5,3,nqc,2,0.25,0.1906033424904674,0.06147372773792843,0.13788659793814437,0.04540422310195199,97,True
mt5,3,bertQPP,2,0.25,0.23237829290169054,0.021995764308654894,0.18127147766323026,0.008527096049992753,97,False
mt5,3,bertQPP,2,0.25,0.2810326949489856,0.00529690820455835,0.21950171821305847,0.0014464512863097319,97,True
mt5,3,bertQPP(QV),2,0.25,0.1738827807264226,0.08850300346165425,0.12886597938144334,0.06148508875649665,97,False
mt5,3,bertQPP(QV),2,0.25,0.2398939426911659,0.01794635887460033,0.18814432989690724,0.00632984784895861,97,True
mt5,3,spatial,2,0.3,0.2750235143640512,0.006404125046034022,0.18170103092783507,0.008372001763204117,97,False
mt5,3,spatial,2,0.3,0.2665030116959746,0.008324270951887201,0.20575601374570449,0.0028288190417010725,97,True
mt5,3,a_ratio,2,0.3,0.10218411787008934,0.3192694724693945,-0.01202749140893471,0.8614470077832815,97,False
mt5,3,a_ratio,2,0.3,0.15461135802277898,0.13050507181483287,0.04853951890034365,0.4812066051703042,97,True
mt5,3,nqc,2,0.3,0.1448757050178177,0.15682102667565548,0.10824742268041239,0.11623089832126132,97,False
mt5,3,nqc,2,0.3,0.1837341492059628,0.07162689910700816,0.13402061855670105,0.051800200122302374,97,True
mt5,3,bertQPP,2,0.3,0.2344818772253834,0.02079035183293362,0.1778350515463918,0.009863239446727635,97,False
mt5,3,bertQPP,2,0.3,0.28163635986694385,0.005195689129697617,0.22079037800687287,0.0013557124652369783,97,True
mt5,3,bertQPP(QV),2,0.3,0.1785512129012563,0.0801495605659335,0.12628865979381446,0.0668634129345248,97,False
mt5,3,bertQPP(QV),2,0.3,0.24250986432957514,0.016696436066165964,0.1902920962199313,0.005756239608165468,97,True
mt5,3,spatial,2,0.35,0.2624548059309943,0.009402366755223338,0.17568728522336774,0.01079019991112942,97,False
