retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries,with_0shot_posterior
bm25,10,spatial,2,0.0,0.23646568510272264,0.020366317053298163,0.1846491228070175,0.007695938960913375,97,False
bm25,10,spatial,2,0.0,0.2321694557605637,0.022834919417154095,0.18377192982456136,0.007990630052244877,97,True
bm25,10,a_ratio,2,0.0,0.20109723897449788,0.04945456217822794,0.017543859649122803,0.8000992472254054,97,False
bm25,10,a_ratio,2,0.0,0.2915054950660273,0.003956531835809386,0.17807017543859646,0.010164879433085774,97,True
bm25,10,nqc,2,0.0,0.07986331070912507,0.43923615165401386,-0.003070175438596491,0.9646546976352598,97,False
bm25,10,nqc,2,0.0,0.2075649354965182,0.04243496731020681,0.10657894736842104,0.12397445778654012,97,True
bm25,10,bertQPP,2,0.0,0.04945966654024703,0.632259673446782,0.08289473684210526,0.23151781230384616,97,False
bm25,10,bertQPP,2,0.0,0.11869176659706389,0.24941153721559525,0.11666666666666664,0.09220020518291383,97,True
bm25,10,bertQPP(QV),2,0.0,0.06235835018502151,0.5461303586359809,0.09166666666666666,0.1858129309168033,97,False
bm25,10,bertQPP(QV),2,0.0,0.13538656879015365,0.18844274338931824,0.118859649122807,0.08624325957567905,97,True
bm25,10,spatial,2,0.05,0.23232309108228327,0.022742420902465175,0.18070175438596486,0.009103246710666093,97,False
bm25,10,spatial,2,0.05,0.2320107345426317,0.022930817512171468,0.18245614035087715,0.008451628874483844,97,True
bm25,10,a_ratio,2,0.05,0.2007342684480729,0.04987534312206719,0.019736842105263153,0.7757429796762659,97,False
bm25,10,a_ratio,2,0.05,0.290589443259322,0.0040770385143594655,0.18026315789473682,0.009273003873208558,97,True
bm25,10,nqc,2,0.05,0.07980538703633766,0.43956917157331243,-0.0017543859649122805,0.9797982329262411,97,False
bm25,10,nqc,2,0.05,0.20765986176353524,0.04233846533114562,0.10745614035087717,0.12091024044629245,97,True
bm25,10,bertQPP,2,0.05,0.04868438117183076,0.6376132566687451,0.08289473684210526,0.23151781230384616,97,False
bm25,10,bertQPP,2,0.05,0.12014976613961856,0.24360188435505886,0.11578947368421051,0.09467365840926534,97,True
bm25,10,bertQPP(QV),2,0.05,0.06151498550167766,0.5515826537281686,0.08728070175438594,0.2077549299013257,97,False
bm25,10,bertQPP(QV),2,0.05,0.13694037811868232,0.18337424445613268,0.12149122807017541,0.07950949270058337,97,True
bm25,10,spatial,2,0.1,0.22747495988369817,0.025820483665691046,0.18026315789473682,0.009273003873208558,97,False
bm25,10,spatial,2,0.1,0.2318332040538485,0.02303848761928511,0.18289473684210522,0.008295385577532875,97,True
bm25,10,a_ratio,2,0.1,0.20002517953777432,0.05070589111055458,0.025438596491228066,0.7134944098591739,97,False
bm25,10,a_ratio,2,0.1,0.28947093200291596,0.004228615980710706,0.18114035087719296,0.008936269357215086,97,True
bm25,10,nqc,2,0.1,0.07974024682571977,0.43994385176459466,-0.0021929824561403503,0.9747493089119874,97,False
bm25,10,nqc,2,0.1,0.20776338756178714,0.04223342936916421,0.10745614035087717,0.12091024044629245,97,True
bm25,10,bertQPP,2,0.1,0.047783104574062596,0.6438602955033287,0.08026315789473683,0.2466700962299916,97,False
bm25,10,bertQPP,2,0.1,0.12165823601260697,0.23769029647164022,0.1201754385964912,0.08282092773870503,97,True
bm25,10,bertQPP(QV),2,0.1,0.06051803088487565,0.5580616506158115,0.09298245614035086,0.1795768982922561,97,False
bm25,10,bertQPP(QV),2,0.1,0.1385054870403155,0.17837009090935518,0.11798245614035086,0.0885876276886421,97,True
bm25,10,spatial,2,0.15,0.2218126908097865,0.02985749749315717,0.181578947368421,0.008772032874754584,97,False
bm25,10,spatial,2,0.15,0.23163334594889182,0.023160215793837903,0.18333333333333332,0.008141731588545092,97,True
bm25,10,a_ratio,2,0.15,0.19884989764062724,0.05210757169262541,0.023245614035087715,0.7372368386099444,97,False
bm25,10,a_ratio,2,0.15,0.288103236391219,0.004420783555135282,0.18026315789473682,0.009273003873208558,97,True
bm25,10,nqc,2,0.15,0.07966647063472429,0.4403684229428512,-0.0026315789473684206,0.9697013964662655,97,False
bm25,10,nqc,2,0.15,0.20787666692603923,0.04211874617940024,0.10877192982456138,0.11642541877279129,97,True
bm25,10,bertQPP,2,0.15,0.04672884792362682,0.6511992052952034,0.08421052631578946,0.2241946713631342,97,False
bm25,10,bertQPP,2,0.15,0.12320078505489608,0.23174902437588035,0.11622807017543857,0.09343036497045672,97,True
bm25,10,bertQPP(QV),2,0.15,0.059332843481511174,0.5658109914755702,0.08596491228070174,0.21469019566351544,97,False
bm25,10,bertQPP(QV),2,0.15,0.14004914756069503,0.17353318014878372,0.1219298245614035,0.07842990329741044,97,True
bm25,10,spatial,2,0.2,0.21521823392520575,0.03521991899328917,0.18114035087719296,0.008936269357215086,97,False
bm25,10,spatial,2,0.2,0.23140671499648363,0.02329891502039069,0.1820175438596491,0.008610498746466352,97,True
bm25,10,a_ratio,2,0.2,0.19705048323044966,0.05431527033297458,0.020614035087719293,0.766060437360897,97,False
bm25,10,a_ratio,2,0.2,0.2864273074426878,0.004666851761813234,0.17850877192982453,0.009980624249260547,97,True
bm25,10,nqc,2,0.2,0.07958224550000893,0.4408534087799759,-0.0021929824561403503,0.9747493089119874,97,False
bm25,10,nqc,2,0.2,0.2080010462735007,0.04199312418224232,0.10921052631578945,0.11495986919059359,97,True
bm25,10,bertQPP,2,0.2,0.04548789787327179,0.6598804916160308,0.08333333333333333,0.22905812271994552,97,False
bm25,10,bertQPP,2,0.2,0.12475087863253986,0.22588400662468716,0.11578947368421051,0.09467365840926534,97,True
bm25,10,bertQPP(QV),2,0.2,0.05791609536790823,0.5751405619063654,0.08026315789473683,0.2466700962299916,97,False
bm25,10,bertQPP(QV),2,0.2,0.14152334171678377,0.16900462618455764,0.1263157894736842,0.0682769876388756,97,True
bm25,10,spatial,2,0.25,0.20756747376451476,0.042432384528851015,0.17982456140350875,0.009445580206528057,97,False
bm25,10,spatial,2,0.25,0.23114761535622702,0.023458353885905645,0.1820175438596491,0.008610498746466352,97,True
bm25,10,a_ratio,2,0.25,0.1944218670735058,0.057677803831432735,0.025877192982456138,0.7087781874777906,97,False
bm25,10,a_ratio,2,0.25,0.2843681635843386,0.0049858421208510625,0.17675438596491225,0.010735947690716544,97,True
bm25,10,nqc,2,0.25,0.07948522011015456,0.44141247432043756,-0.0017543859649122805,0.9797982329262411,97,False
bm25,10,nqc,2,0.25,0.20813809464458277,0.04185506800353943,0.10877192982456138,0.11642541877279129,97,True
bm25,10,bertQPP,2,0.25,0.044018167184173375,0.670220763368826,0.07763157894736841,0.2625039156547271,97,False
bm25,10,bertQPP,2,0.25,0.12626739279780436,0.2202476947449521,0.12280701754385961,0.07630651637729123,97,True
bm25,10,bertQPP(QV),2,0.25,0.05621379890148358,0.5864442340854106,0.07587719298245613,0.27344185633141316,97,False
bm25,10,bertQPP(QV),2,0.25,0.14285927911383492,0.16497666606375558,0.12675438596491226,0.06732401746109497,97,True
bm25,10,spatial,2,0.3,0.1987360311227851,0.052245050672201636,0.17675438596491225,0.010735947690716544,97,False
bm25,10,spatial,2,0.3,0.230848632317119,0.02364349229265175,0.181578947368421,0.008772032874754584,97,True
bm25,10,a_ratio,2,0.3,0.19070337884041222,0.06272344434389028,0.024999999999999994,0.7182216070520635,97,False
bm25,10,a_ratio,2,0.3,0.2818301932243411,0.005405604292291603,0.17938596491228065,0.00962101549816644,97,True
bm25,10,nqc,2,0.3,0.0793722917135075,0.4420636767015008,-0.0008771929824561403,0.9898983068920344,97,False
bm25,10,nqc,2,0.3,0.20828963155220076,0.04170285698636241,0.10964912280701752,0.11350887100984884,97,True
bm25,10,bertQPP,2,0.3,0.04226734783030335,0.6826192092306708,0.07456140350877193,0.2818470721414411,97,False
bm25,10,bertQPP,2,0.3,0.12768857617410073,0.21505647280802878,0.12368421052631577,0.07423025092161463,97,True
bm25,10,bertQPP(QV),2,0.3,0.05415926962208285,0.6002201559338926,0.07719298245614034,0.26520964851167916,97,False
bm25,10,bertQPP(QV),2,0.3,0.1439606099807498,0.16170989796130972,0.12850877192982454,0.06362097951440454,97,True
bm25,10,spatial,2,0.35,0.18860804679167456,0.0657212238633102,0.175,0.011541673254595812,97,False
bm25,10,spatial,2,0.35,0.23049993889291362,0.02386098707906358,0.1820175438596491,0.008610498746466352,97,True
bm25,10,a_ratio,2,0.35,0.18557472403725156,0.0702658062908584,0.026315789473684206,0.7040731029869403,97,False
bm25,10,a_ratio,2,0.35,0.2786910915816933,0.005968024423651641,0.17543859649122803,0.01133536481749997,97,True
bm25,10,nqc,2,0.35,0.07923928447520648,0.44283135720064243,-0.0017543859649122805,0.9797982329262411,97,False
bm25,10,nqc,2,0.35,0.208457742422368,0.041534538022700664,0.11096491228070172,0.10924231434701433,97,True
bm25,10,bertQPP,2,0.35,0.04017109925069489,0.6975751708533003,0.06710526315789472,0.33276408177138295,97,False
bm25,10,bertQPP,2,0.35,0.12892419043279013,0.2106140990949507,0.13026315789473683,0.06008783459643862,97,True
bm25,10,bertQPP(QV),2,0.35,0.051671477450390135,0.6170910859153749,0.07236842105263157,0.29624164556189136,97,False
bm25,10,bertQPP(QV),2,0.35,0.14469574958244022,0.15955622644442533,0.12543859649122807,0.07021620460948058,97,True
bm25,10,spatial,2,0.4,0.17708820802040207,0.08433948669442973,0.17631578947368418,0.010932545975931482,97,False
bm25,10,spatial,2,0.4,0.23008824136491068,0.02411997609561357,0.18377192982456136,0.007990630052244877,97,True
bm25,10,a_ratio,2,0.4,0.1786630620361134,0.08157064834661854,0.03201754385964912,0.643992360331084,97,False
bm25,10,a_ratio,2,0.4,0.27479416043604693,0.006737996841610703,0.17675438596491225,0.010735947690716544,97,True
bm25,10,nqc,2,0.4,0.07908044965938607,0.44374908904052707,0.00043859649122807013,0.9949490522405066,97,False
