retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries
bm25,2,spatial,2,0.0,0.3645135109696471,0.00024194775953980733,0.17353951890034366,0.011793812186781842,97
bm25,2,a_ratio,2,0.0,0.2168840549746045,0.0328560780993308,0.07216494845360825,0.295009708543132,97
bm25,2,nqc,2,0.0,0.011902730349895755,0.9078802601962643,0.01718213058419244,0.8031038928688624,97
bm25,2,bertQPP,2,0.0,0.2490409984428389,0.013899076246851464,0.20790378006872856,0.0025535840012904936,97
bm25,2,bertQPP(QV),2,0.0,0.22988998629965587,0.023498422470538148,0.20317869415807563,0.0031947282487263706,97
bm25,2,spatial,2,0.02,0.36692796070514744,0.0002183431209871039,0.17611683848797252,0.010598840128977079,97
bm25,2,a_ratio,2,0.02,0.22029276881982465,0.0301422132156334,0.08290378006872855,0.22896569995644822,97
bm25,2,nqc,2,0.02,0.012097268395744858,0.9063814202945586,0.018041237113402064,0.7934766269227447,97
bm25,2,bertQPP,2,0.02,0.25178868284924244,0.012849807036426828,0.21048109965635742,0.002255725464528707,97
bm25,2,bertQPP(QV),2,0.02,0.2331743569162797,0.021532739966541852,0.20661512027491413,0.0027156275780873427,97
bm25,2,spatial,2,0.04,0.36894680100697025,0.00020025930324907477,0.17697594501718217,0.010225152665271457,97
bm25,2,a_ratio,2,0.04,0.22366659534871397,0.027645259019364283,0.0850515463917526,0.21713063766326968,97
bm25,2,nqc,2,0.04,0.01229987026876683,0.9048208005541646,0.016752577319587632,0.8079288528511878,97
bm25,2,bertQPP,2,0.04,0.2545478717095393,0.011866233116358657,0.21434707903780073,0.0018682268943729797,97
bm25,2,bertQPP(QV),2,0.04,0.23649163328310882,0.019692084387379148,0.20489690721649487,0.002946303078171719,97
bm25,2,spatial,2,0.06,0.3705248272858585,0.0001870994112541906,0.18041237113402064,0.008845012615594157,97
bm25,2,a_ratio,2,0.06,0.22698359531559903,0.02536374665995889,0.08075601374570447,0.24125289471425693,97
bm25,2,nqc,2,0.06,0.012511046162092396,0.9031945211514253,0.016323024054982822,0.8127611296549226,97
bm25,2,bertQPP,2,0.06,0.257308166887888,0.01094865218057307,0.21262886597938147,0.002032205430312129,97
bm25,2,bertQPP(QV),2,0.06,0.23982996447391347,0.017977912629676428,0.2053264604810997,0.002887015591872923,97
bm25,2,spatial,2,0.08,0.37161846329402415,0.0001784534163751612,0.17568728522336774,0.01079019991112942,97
bm25,2,a_ratio,2,0.08,0.2302191797524044,0.023294726734000376,0.0850515463917526,0.21713063766326968,97
bm25,2,nqc,2,0.08,0.012731350071489492,0.9014983722875819,0.01589347079037801,0.817600546341627,97
bm25,2,bertQPP,2,0.08,0.26005739586195337,0.010097038055788883,0.2130584192439863,0.0019900166497547295,97
bm25,2,bertQPP(QV),2,0.08,0.24317515206857548,0.016390817136718354,0.2014604810996564,0.0034621026042757834,97
bm25,2,spatial,2,0.1,0.37218708937894557,0.00017410552104060758,0.17697594501718217,0.010225152665271457,97
bm25,2,a_ratio,2,0.1,0.23334614150823238,0.02143392571628027,0.08591065292096221,0.2125219840325313,97
bm25,2,nqc,2,0.1,0.012961384580169152,0.8997277785623752,0.015463917525773198,0.8224469251562028,97
bm25,2,bertQPP,2,0.1,0.2627814308105626,0.009311048487497402,0.21048109965635742,0.002255725464528707,97
bm25,2,bertQPP(QV),2,0.1,0.24651038758696586,0.014930511188464496,0.20274914089347082,0.003259747042536618,97
bm25,2,spatial,2,0.12,0.37219444209661307,0.00017404994740478956,0.18256013745704472,0.00806936233603351,97
bm25,2,a_ratio,2,0.12,0.23633478854290535,0.01977596356168424,0.0854810996563574,0.2148174024411691,97
bm25,2,nqc,2,0.12,0.013201806282054356,0.8978777586610207,0.015463917525773198,0.8224469251562028,97
bm25,2,bertQPP,2,0.12,0.2654640123566492,0.008590043785824359,0.21563573883161516,0.0017533187111864498,97
bm25,2,bertQPP(QV),2,0.12,0.24981599826600284,0.013595842327602362,0.20103092783505158,0.0035320539175627825,97
bm25,2,spatial,2,0.14,0.3716100129015179,0.00017851878175763697,0.18041237113402064,0.008845012615594157,97
bm25,2,a_ratio,2,0.14,0.2391532003929502,0.018314628623172794,0.08977663230240551,0.19265661141875967,97
bm25,2,nqc,2,0.14,0.013453331944692087,0.8959428796246389,0.01718213058419244,0.8031038928688624,97
bm25,2,bertQPP,2,0.14,0.2680865866431297,0.007933117649523584,0.21864261168384883,0.0015100189795415188,97
bm25,2,bertQPP(QV),2,0.14,0.2530692162319291,0.012384837663680249,0.20103092783505158,0.0035320539175627825,97
bm25,2,spatial,2,0.16,0.37041036097380026,0.00018802640350073263,0.18771477663230243,0.006450561996249079,97
bm25,2,a_ratio,2,0.16,0.24176762686762598,0.017043203084160397,0.0970790378006873,0.15891607395046403,97
bm25,2,nqc,2,0.16,0.013716745531642253,0.8939172048421946,0.017611683848797254,0.7982864258103413,97
bm25,2,bertQPP,2,0.16,0.2706281669238182,0.00733914136441227,0.2212199312714777,0.001326652810302692,97
bm25,2,bertQPP(QV),2,0.16,0.2562439905812655,0.011294783872893203,0.19931271477663232,0.003824903963020039,97
bm25,2,spatial,2,0.18,0.36858024945933354,0.00020343618636412257,0.18857388316151205,0.006211170636578692,97
bm25,2,a_ratio,2,0.18,0.244143042885466,0.015954829706664914,0.09536082474226806,0.16642177733641728,97
bm25,2,nqc,2,0.18,0.013992906226769764,0.8917942347432157,0.018470790378006877,0.7886746705788532,97
bm25,2,bertQPP,2,0.18,0.27306523356699564,0.006806822450354575,0.22465635738831619,0.0011140538745299275,97
bm25,2,bertQPP(QV),2,0.18,0.2593108666017903,0.010322343556196595,0.19458762886597944,0.004747484369155047,97
bm25,2,spatial,2,0.2,0.3661135176126217,0.0002260565572513216,0.19329896907216498,0.0050318722795436996,97
bm25,2,a_ratio,2,0.2,0.24624386498808432,0.015042909129335256,0.09493127147766325,0.1683392012081001,97
bm25,2,nqc,2,0.2,0.01428275763033526,0.8895668389780514,0.018900343642611686,0.783880730258208,97
bm25,2,bertQPP,2,0.2,0.27537168911978205,0.006334778748856233,0.22465635738831619,0.0011140538745299275,97
bm25,2,bertQPP(QV),2,0.2,0.2622369608978052,0.009463708355266456,0.1971649484536083,0.004221925130091803,97
bm25,2,spatial,2,0.22,0.36301361454808323,0.00025777502196229637,0.1890034364261169,0.006094500520977148,97
bm25,2,a_ratio,2,0.22,0.2480348233728591,0.014301516357649707,0.10352233676975947,0.1330387570764664,97
bm25,2,nqc,2,0.22,0.014587338330319582,0.8872271786387094,0.01975945017182131,0.7743175870264136,97
bm25,2,bertQPP,2,0.22,0.2775188875892758,0.0059216289545725815,0.22336769759450176,0.0011897860106094835,97
bm25,2,bertQPP(QV),2,0.22,0.2649860648609314,0.008714788029652197,0.19243986254295536,0.005229928831102741,97
bm25,2,spatial,2,0.24,0.3592937429761564,0.0003012401677578714,0.19458762886597944,0.004747484369155047,97
bm25,2,a_ratio,2,0.24,0.24948196870212969,0.013725825428126288,0.10609965635738833,0.1236515932692785,97
bm25,2,nqc,2,0.24,0.0149077940935394,0.8847666167883398,0.020189003436426118,0.7695487264404447,97
bm25,2,bertQPP,2,0.24,0.2794757589662627,0.005566100761648085,0.22079037800687287,0.0013557124652369783,97
bm25,2,bertQPP(QV),2,0.24,0.2675189108317837,0.008071433781844042,0.19544673539518906,0.0045660596694361046,97
bm25,2,spatial,2,0.26,0.3549765912051162,0.0003601024980599607,0.19458762886597944,0.004747484369155047,97
bm25,2,a_ratio,2,0.26,0.2505537765744622,0.013312532242071623,0.10996563573883163,0.110550087489207,97
bm25,2,nqc,2,0.26,0.015245391971761578,0.8821756152183537,0.021477663230240553,0.7552950224453057,97
bm25,2,bertQPP,2,0.26,0.2812090507337921,0.005267158187564338,0.21993127147766325,0.0014156009702633058,97
bm25,2,bertQPP(QV),2,0.26,0.2697936342979156,0.007529693699800217,0.1902920962199313,0.005756239608165468,97
bm25,2,spatial,2,0.28,0.35009366519291246,0.00043932460406039176,0.18857388316151205,0.006211170636578692,97
bm25,2,a_ratio,2,0.28,0.251222296188082,0.013060266803199277,0.11254295532646051,0.10244263799035044,97
bm25,2,nqc,2,0.28,0.01560153668069247,0.879443614923144,0.021477663230240553,0.7552950224453057,97
bm25,2,bertQPP,2,0.28,0.2826837070518935,0.005024150316709834,0.2177835051546392,0.0015761513468118154,97
bm25,2,bertQPP(QV),2,0.28,0.2717664603314115,0.00708609845288348,0.19501718213058422,0.004655971971265852,97
bm25,2,spatial,2,0.3,0.3446842651168272,0.0005455688114629933,0.18341924398625434,0.007776554495134835,97
bm25,2,a_ratio,2,0.3,0.2514642757659342,0.012969986987275185,0.11340206185567013,0.09984779835922447,97
bm25,2,nqc,2,0.3,0.015977789687634275,0.876558897252567,0.021907216494845363,0.7505619727933218,97
bm25,2,bertQPP,2,0.3,0.283863402834866,0.004836984720294248,0.2177835051546392,0.0015761513468118154,97
bm25,2,bertQPP(QV),2,0.3,0.2733926320473952,0.006737976423438575,0.19158075601374575,0.0054350017041903615,97
bm25,2,spatial,2,0.32,0.33879417844032717,0.0006876651788473925,0.18771477663230243,0.006450561996249079,97
bm25,2,a_ratio,2,0.32,0.2512621883679022,0.01304534594275592,0.11554982817869418,0.09358972367387966,97
bm25,2,nqc,2,0.32,0.016375891540961855,0.8735084220454403,0.021048109965635744,0.7600372759154744,97
bm25,2,bertQPP,2,0.32,0.28471124344178206,0.004706330172269108,0.21434707903780073,0.0018682268943729797,97
bm25,2,bertQPP(QV),2,0.32,0.27462758243688423,0.006483799236571926,0.19544673539518906,0.0045660596694361046,97
bm25,2,spatial,2,0.34,0.33247418036160636,0.0008771538682776118,0.18427835051546396,0.0074933028749945285,97
bm25,2,a_ratio,2,0.34,0.25060508014787614,0.013293023823570092,0.12156357388316154,0.07772782073014356,97
bm25,2,nqc,2,0.34,0.016797788096858543,0.8702776382290666,0.020189003436426118,0.7695487264404447,97
bm25,2,bertQPP,2,0.34,0.2851906307945209,0.004633854951126361,0.209192439862543,0.002400428947085522,97
bm25,2,bertQPP(QV),2,0.34,0.27542832857028937,0.006323560928342688,0.19201030927835053,0.00533157487845821,97
bm25,2,spatial,2,0.36,0.325778440933031,0.001128883285217899,0.18470790378006877,0.007355176256510775,97
bm25,2,a_ratio,2,0.36,0.24948917043182955,0.013723011620574778,0.12199312714776635,0.07668417076895777,97
bm25,2,nqc,2,0.36,0.01724566145318637,0.8668502613459553,0.022336769759450176,0.7458382926337936,97
bm25,2,bertQPP,2,0.36,0.2852662834226781,0.00462250887015439,0.20790378006872856,0.0025535840012904936,97
bm25,2,bertQPP(QV),2,0.36,0.2757550401483546,0.006259196304012677,0.19286941580756015,0.005130036782382208,97
bm25,2,spatial,2,0.38,0.3187629359324857,0.0014616297200976153,0.17310996563573885,0.01200419316896961,97
bm25,2,a_ratio,2,0.38,0.24791814934802564,0.014348830618471363,0.12285223367697597,0.07463114343880432,97
bm25,2,nqc,2,0.38,0.017721966596498363,0.8632080111817327,0.021477663230240553,0.7552950224453057,97
bm25,2,bertQPP,2,0.38,0.2849053817928957,0.004676858971303312,0.20360824742268044,0.003130893451622874,97
bm25,2,bertQPP(QV),2,0.38,0.27557270540894857,0.006295045676820601,0.19329896907216498,0.0050318722795436996,97
bm25,2,spatial,2,0.4,0.31148394724790085,0.0018986874051022079,0.16881443298969073,0.014298004272030715,97
bm25,2,a_ratio,2,0.4,0.24590314266274813,0.015187666160123844,0.12199312714776635,0.07668417076895777,97
bm25,2,nqc,2,0.4,0.018229475018749913,0.8593303010428305,0.02448453608247423,0.7223661580007107,97
bm25,2,bertQPP,2,0.4,0.28407879261366603,0.00480349014934642,0.2018900343642612,0.0033934144348203364,97
bm25,2,bertQPP(QV),2,0.4,0.2748527906026566,0.006438373207575127,0.19158075601374575,0.0054350017041903615,97
bm25,2,spatial,2,0.42,0.3039967207319367,0.00246836294705834,0.16752577319587633,0.015057708996420909,97
bm25,2,a_ratio,2,0.42,0.24346234199516853,0.016260390099978376,0.11984536082474227,0.08201867152410211,97
bm25,2,nqc,2,0.42,0.01877132688228838,0.8551938681693505,0.02405498281786942,0.7270405431127746,97
bm25,2,bertQPP,2,0.42,0.282762308662527,0.005011482244523109,0.19630584192439868,0.0043909374810577745,97
bm25,2,bertQPP(QV),2,0.42,0.2735747696874871,0.006699943378092158,0.18513745704467358,0.007219338175415614,97
bm25,2,spatial,2,0.44,0.29635432830899744,0.003204298722096872,0.16365979381443302,0.01755425786967657,97
bm25,2,a_ratio,2,0.44,0.2406203277501414,0.017591444036476066,0.11597938144329899,0.09237668593402237,97
bm25,2,nqc,2,0.44,0.01935109372818723,0.8507723321382952,0.02491408934707904,0.7177021136751226,97
bm25,2,bertQPP,2,0.44,0.2809378266960594,0.005312973531645192,0.19201030927835053,0.00533157487845821,97
bm25,2,bertQPP(QV),2,0.44,0.2717273936233865,0.007094653578657641,0.18470790378006877,0.007355176256510775,97
bm25,2,spatial,2,0.46,0.2886067595589369,0.00414554957927165,0.16022336769759454,0.02007078628569656,97
bm25,2,a_ratio,2,0.46,0.23740713777953845,0.019208556644439982,0.11855670103092786,0.08536128644887009,97
bm25,2,nqc,2,0.46,0.019972854265187294,0.8460356647427585,0.02405498281786942,0.7270405431127746,97
bm25,2,bertQPP,2,0.46,0.27859437802518444,0.005723816015778271,0.19329896907216498,0.0050318722795436996,97
bm25,2,bertQPP(QV),2,0.46,0.2693095774630957,0.007642209422862618,0.1782646048109966,0.009686599012848096,97
bm25,2,spatial,2,0.48,0.28080024846750684,0.005336348456363072,0.1585051546391753,0.021443192891173694,97
bm25,2,a_ratio,2,0.48,0.23385715349861658,0.02114227437975804,0.12199312714776635,0.07668417076895777,97
bm25,2,nqc,2,0.48,0.020641286487112952,0.8409495504970461,0.022766323024054985,0.7411241465856763,97
