retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries,with_0shot_posterior
mt5,5,spatial,2,0.0,0.25885485632993066,0.010462125003978813,0.1512027491408935,0.028226597294347726,97,False
mt5,5,spatial,2,0.0,0.3161522381278623,0.0016066121076983738,0.2328178694158076,0.0007289565212236814,97,True
mt5,5,a_ratio,2,0.0,0.13160075259686296,0.1988233722254004,0.02448453608247423,0.7223661580007107,97,False
mt5,5,a_ratio,2,0.0,0.18620049804345554,0.0678361768831632,0.0889175257731959,0.1969487085850582,97,True
mt5,5,nqc,2,0.0,0.11061668139870948,0.28074872825135627,0.011168384879725088,0.8712539798728897,97,False
mt5,5,nqc,2,0.0,0.12332289087326405,0.22880452024928905,0.027061855670103097,0.6945424903122657,97,True
mt5,5,bertQPP,2,0.0,0.24197190814867373,0.01694714987227943,0.19759450171821308,0.0041396512632380965,97,False
mt5,5,bertQPP,2,0.0,0.3063929876954776,0.0022712034199454203,0.24785223367697598,0.0003223841860548392,97,True
mt5,5,bertQPP(QV),2,0.0,0.18689940218155726,0.06679202150029932,0.15335051546391754,0.026061836085581373,97,False
mt5,5,bertQPP(QV),2,0.0,0.26634040373611817,0.008365381674232123,0.21477663230240554,0.0018291772025326055,97,True
mt5,5,spatial,2,0.05,0.26167121960896217,0.009624655241595509,0.1597938144329897,0.02040649882574069,97,False
mt5,5,spatial,2,0.05,0.3161624569578358,0.0016060200881210472,0.23195876288659797,0.0007627126312502382,97,True
mt5,5,a_ratio,2,0.05,0.13191729730304871,0.19773587911532847,0.02448453608247423,0.7223661580007107,97,False
mt5,5,a_ratio,2,0.05,0.18658936014391284,0.06725360248266157,0.09149484536082475,0.1842793810224047,97,True
mt5,5,nqc,2,0.05,0.11496089597615924,0.26216962334152205,0.09020618556701032,0.1905365207922204,97,False
mt5,5,nqc,2,0.05,0.13127417515872128,0.19994983518506684,0.1357388316151203,0.04887004601219989,97,True
mt5,5,bertQPP,2,0.05,0.2455923363016383,0.01532076448969606,0.20017182130584193,0.0036758280937195186,97,False
mt5,5,bertQPP,2,0.05,0.3102055162031309,0.0019866383295900846,0.2525773195876289,0.00024716269151633816,97,True
mt5,5,bertQPP(QV),2,0.05,0.19074183300898775,0.0612817719167014,0.15635738831615123,0.02327305567367708,97,False
mt5,5,bertQPP(QV),2,0.05,0.27079660199259736,0.007301202393239144,0.2177835051546392,0.0015761513468118154,97,True
mt5,5,spatial,2,0.1,0.26409794719443713,0.008950822569379268,0.15936426116838492,0.0207470988785446,97,False
mt5,5,spatial,2,0.1,0.31617042900098935,0.0016055583715182205,0.2336769759450172,0.0006965926026270434,97,True
mt5,5,a_ratio,2,0.1,0.13226829100737159,0.19653505098727206,0.02362542955326461,0.7317251099207628,97,False
mt5,5,a_ratio,2,0.1,0.18701981581815408,0.06661344692710393,0.09149484536082475,0.1842793810224047,97,True
mt5,5,nqc,2,0.1,0.11963615606559924,0.24312870279805743,0.11340206185567013,0.09984779835922447,97,False
mt5,5,nqc,2,0.1,0.1398083386683143,0.1719953188452968,0.1512027491408935,0.028226597294347726,97,True
mt5,5,bertQPP,2,0.1,0.24935021458195855,0.013777392014810994,0.19931271477663232,0.003824903963020039,97,False
mt5,5,bertQPP,2,0.1,0.31402937914680096,0.001733971930207212,0.2521477663230241,0.0002532519652694692,97,True
mt5,5,bertQPP(QV),2,0.1,0.19479812701795557,0.05587271092830286,0.16108247422680416,0.01941379508307944,97,False
mt5,5,bertQPP(QV),2,0.1,0.27531548835756886,0.0063459271004979835,0.22680412371134026,0.0009976667225656776,97,True
mt5,5,spatial,2,0.15,0.2659896473603084,0.008454669316675281,0.15678694158075604,0.022896601370035064,97,False
mt5,5,spatial,2,0.15,0.3161751799167162,0.001605283270043256,0.23195876288659797,0.0007627126312502382,97,True
mt5,5,a_ratio,2,0.15,0.13265966835769177,0.1952022699075033,0.021477663230240553,0.7552950224453057,97,False
mt5,5,a_ratio,2,0.15,0.1874988952125911,0.06590679610893148,0.09020618556701032,0.1905365207922204,97,True
mt5,5,nqc,2,0.15,0.12464951315549747,0.22379781359465906,0.11039518900343644,0.10916471457232763,97,False
mt5,5,nqc,2,0.15,0.14889993591749093,0.1455001700051519,0.15721649484536085,0.02252544814571104,97,True
mt5,5,bertQPP,2,0.15,0.2532089857602847,0.012334985341952067,0.19673539518900346,0.004305679427335466,97,False
mt5,5,bertQPP,2,0.15,0.31779518073920465,0.001513928457931388,0.2521477663230241,0.0002532519652694692,97,True
mt5,5,bertQPP(QV),2,0.15,0.19905137964773859,0.050627796736234645,0.16237113402061856,0.018463547347092265,97,False
