retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries
tct,4,spatial,2,0.0,0.16378774189568956,0.10892230658406964,0.12671821305841927,0.06594102788919391,97
tct,4,a_ratio,2,0.0,0.1881350130948584,0.06497791917501233,0.09407216494845362,0.1722237215768213,97
tct,4,nqc,2,0.0,0.06795393575285778,0.5083830249691298,0.030068728522336774,0.6625964496656107,97
tct,4,spatial,2,0.02,0.1664475170695877,0.10321681073254428,0.12800687285223372,0.06323660544752113,97
tct,4,a_ratio,2,0.02,0.19603064034010997,0.0543089258969995,0.10652920962199315,0.12213859984356254,97
tct,4,nqc,2,0.02,0.06835628495175938,0.5058697692223831,0.030068728522336774,0.6625964496656107,97
tct,4,spatial,2,0.04,0.16909254109038963,0.0977775496258576,0.12886597938144334,0.06148508875649665,97
tct,4,a_ratio,2,0.04,0.2034526314702075,0.045634660768042574,0.11082474226804125,0.10779310640620364,97
tct,4,nqc,2,0.04,0.06877540058301114,0.5032586420890554,0.030068728522336774,0.6625964496656107,97
tct,4,spatial,2,0.06,0.17171619391421464,0.09260747183704285,0.1284364261168385,0.06235576017343852,97
tct,4,a_ratio,2,0.06,0.21031572075441468,0.03866782811356115,0.11254295532646051,0.10244263799035044,97
tct,4,nqc,2,0.06,0.06921234659503085,0.5005439085098642,0.029639175257731964,0.6671244311500414,97
tct,4,spatial,2,0.08,0.1743114683162311,0.0877082450653891,0.1314432989690722,0.05647001729864357,97
tct,4,a_ratio,2,0.08,0.21654786565886658,0.03313455426898344,0.11340206185567013,0.09984779835922447,97
tct,4,nqc,2,0.08,0.06966827830357403,0.4977193854236077,0.029639175257731964,0.6671244311500414,97
tct,4,spatial,2,0.1,0.1768709995904803,0.08308026250847679,0.13316151202749144,0.05331954320676675,97
tct,4,a_ratio,2,0.1,0.2220938925139871,0.028786466178867095,0.1086769759450172,0.11478963120763813,97
tct,4,nqc,2,0.1,0.07014445234266531,0.49477839825095943,0.029639175257731964,0.6671244311500414,97
tct,4,spatial,2,0.12,0.17938710428357518,0.07872267096542669,0.13402061855670105,0.051800200122302374,97
tct,4,a_ratio,2,0.12,0.2269179088514195,0.025407320872927613,0.10567010309278352,0.12517917667351905,97
tct,4,nqc,2,0.12,0.0706422379343015,0.4917137323731689,0.029639175257731964,0.6671244311500414,97
tct,4,spatial,2,0.14,0.1818518283459881,0.0746334203885329,0.13702749140893475,0.046764860648197036,97
tct,4,a_ratio,2,0.14,0.23100424069901426,0.02281503249945815,0.10223367697594504,0.13793469449367568,97
tct,4,nqc,2,0.14,0.07116312968352151,0.4885175789521512,0.030068728522336774,0.6625964496656107,97
tct,4,spatial,2,0.16,0.18425700485066743,0.07080933387804624,0.13487972508591067,0.050317249987351625,97
tct,4,a_ratio,2,0.16,0.23435686873786662,0.020860367301997307,0.10695876288659796,0.12064011527036375,97
tct,4,nqc,2,0.16,0.0717087621428714,0.48518147434601466,0.030927835051546396,0.653577523351426,97
tct,4,spatial,2,0.18,0.18659432114680144,0.06724619640933643,0.13359106529209622,0.05255528194642074,97
tct,4,a_ratio,2,0.18,0.2369975448844179,0.01942360774806892,0.10695876288659796,0.12064011527036375,97
tct,4,nqc,2,0.18,0.07228092643543503,0.48169623226858355,0.0313573883161512,0.6490868603039283,97
