retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries,with_0shot_posterior
tct,9,spatial,2,0.0,0.013382096827883258,0.8964907995035795,0.03393470790378007,0.6224147431170471,97,False
tct,9,spatial,2,0.0,0.2806756280578976,0.005357600650554058,0.21907216494845363,0.0014779202366871586,97,True
tct,9,a_ratio,2,0.0,0.08699727737016585,0.3968143680759362,0.0584192439862543,0.3965888091618368,97,False
tct,9,a_ratio,2,0.0,0.28703017363767047,0.004364889994963118,0.22809278350515466,0.000933347093157991,97,True
tct,9,nqc,2,0.0,0.1492631279496186,0.14450956733786507,0.08719931271477664,0.2057421374120063,97,False
tct,9,nqc,2,0.0,0.24089257215590104,0.017459992874871322,0.16537800687285226,0.016403064445582434,97,True
tct,9,bertQPP,2,0.0,0.17672691352325548,0.08333551015854819,0.10137457044673541,0.14127503537333896,97,False
tct,9,bertQPP,2,0.0,0.23874077288827814,0.01852248002459105,0.16752577319587633,0.015057708996420909,97,True
tct,9,bertQPP(QV),2,0.0,0.1310712474602009,0.20065209966598066,0.05541237113402062,0.42134149715143543,97,False
tct,9,bertQPP(QV),2,0.0,0.2058321123136385,0.04310985452091257,0.12156357388316154,0.07772782073014356,97,True
tct,9,spatial,2,0.05,0.025171050124998224,0.8066646524152113,0.040807560137457045,0.5537409286316863,97,False
tct,9,spatial,2,0.05,0.2813639624978983,0.005241148263777812,0.2203608247422681,0.0013853583021557498,97,True
tct,9,a_ratio,2,0.05,0.117719346088215,0.25081624670550856,0.07989690721649485,0.24629548858904848,97,False
tct,9,a_ratio,2,0.05,0.29282516386746066,0.0036062692423597304,0.23238831615120278,0.0007456571945733053,97,True
tct,9,nqc,2,0.05,0.15052033599351017,0.14111980285373985,0.08977663230240551,0.19265661141875967,97,False
tct,9,nqc,2,0.05,0.2421636106438233,0.01685743679802001,0.1658075601374571,0.016125841537736958,97,True
tct,9,bertQPP,2,0.05,0.1865351528700158,0.06733456930311127,0.10395189003436428,0.13143701983340042,97,False
tct,9,bertQPP,2,0.05,0.24847572018872746,0.014123942345815033,0.17482817869415812,0.011182156616858724,97,True
tct,9,bertQPP(QV),2,0.05,0.14062790582183932,0.1694704488650248,0.06185567010309279,0.3694011818632015,97,False
tct,9,bertQPP(QV),2,0.05,0.21557896710008884,0.03394826636386592,0.1284364261168385,0.06235576017343852,97,True
tct,9,spatial,2,0.1,0.037989759000520595,0.7118007419360857,0.050687285223367705,0.46201693847175085,97,False
tct,9,spatial,2,0.1,0.2821237267664741,0.0051152288028894185,0.22079037800687287,0.0013557124652369783,97,True
tct,9,a_ratio,2,0.1,0.14850913099762392,0.14657179243283466,0.10008591065292097,0.14640165493450158,97,False
tct,9,a_ratio,2,0.1,0.2988818519804234,0.0029416129970798646,0.23152920962199317,0.0007801296905645403,97,True
tct,9,nqc,2,0.1,0.15191547204195743,0.1374289348900613,0.09020618556701032,0.1905365207922204,97,False
tct,9,nqc,2,0.1,0.2435703361004633,0.016211577392214245,0.16494845360824745,0.01668446543769203,97,True
tct,9,bertQPP,2,0.1,0.1973061109378612,0.052728658556524075,0.11168384879725088,0.1050908480999539,97,False
tct,9,bertQPP,2,0.1,0.2589980591280738,0.010418051423545075,0.18256013745704472,0.00806936233603351,97,True
tct,9,bertQPP(QV),2,0.1,0.15114363561276328,0.1394616874915345,0.0657216494845361,0.340237883454913,97,False
tct,9,bertQPP(QV),2,0.1,0.2261021487064492,0.02595380228004865,0.1396048109965636,0.042782883164389815,97,True
tct,9,spatial,2,0.15,0.051913689276655454,0.6135566671572739,0.05584192439862544,0.41775090102760204,97,False
tct,9,spatial,2,0.15,0.2829666067458918,0.004978688744633585,0.22250859106529214,0.001242886914966472,97,True
tct,9,a_ratio,2,0.15,0.17833201211006267,0.08052714466949,0.1207044673539519,0.07984982362376257,97,False
tct,9,a_ratio,2,0.15,0.3051949676149056,0.0023679257449374038,0.23067010309278352,0.00081607670119364,97,True
tct,9,nqc,2,0.15,0.15347245855164815,0.13339689715401554,0.09149484536082475,0.1842793810224047,97,False
tct,9,nqc,2,0.15,0.2451355853894727,0.01551819469151229,0.1658075601374571,0.016125841537736958,97,True
tct,9,bertQPP,2,0.15,0.2091453651501102,0.039788692912174545,0.11597938144329899,0.09237668593402237,97,False
tct,9,bertQPP,2,0.15,0.2703608821847576,0.007399702904973415,0.18556701030927839,0.00708575590459897,97,True
tct,9,bertQPP(QV),2,0.15,0.1627303309405045,0.11125760751899964,0.07431271477663232,0.2808725107935828,97,False
tct,9,bertQPP(QV),2,0.15,0.23745251631862083,0.019184857761754038,0.1439003436426117,0.036783724578164194,97,True
tct,9,spatial,2,0.2,0.06700713746391335,0.5143224794307011,0.06314432989690723,0.3595119194286538,97,False
tct,9,spatial,2,0.2,0.28390697299786144,0.004830192535140932,0.22079037800687287,0.0013557124652369783,97,True
tct,9,a_ratio,2,0.2,0.20618277315962796,0.04274779044034973,0.14132302405498284,0.040290653027956765,97,False
tct,9,a_ratio,2,0.2,0.3117513699288248,0.0018807409859373857,0.23109965635738836,0.0007979153488644113,97,True
tct,9,nqc,2,0.2,0.1552210629629397,0.12897674561847658,0.09278350515463919,0.1781756748775648,97,False
tct,9,nqc,2,0.2,0.24688759183002285,0.014772681338658436,0.16752577319587633,0.015057708996420909,97,True
tct,9,bertQPP,2,0.2,0.2221586356169193,0.028738710648238745,0.12328178694158079,0.07362159410235054,97,False
tct,9,bertQPP,2,0.2,0.28260544298503354,0.0050367922871522525,0.1971649484536083,0.004221925130091803,97,True
tct,9,bertQPP(QV),2,0.2,0.17550400838837424,0.085527130166921,0.0777491408934708,0.2592237212301055,97,False
tct,9,bertQPP(QV),2,0.2,0.2496697577461802,0.013652617569487848,0.15335051546391754,0.026061836085581373,97,True
tct,9,spatial,2,0.25,0.08331370611711579,0.41718224982428304,0.07259450171821306,0.29214479548279504,97,False
tct,9,spatial,2,0.25,0.2849626944494593,0.004668190105793513,0.2212199312714777,0.001326652810302692,97,True
