QPP_Method,Spearman,Kendall
nqc,0.1693,0.1276
maxScore,0.1792,0.1346
spatial,0.1484,0.1112
a_ratio,0.2093,0.1584
bertQPP,0.1291,0.0972
prob(k),0.3048,0.2289
max(perpC),0.0656,0.0497
min(perpC),0.0481,0.0364
avg(perpC),0.0686,0.0519
itg(perpC),0.0922,0.0696
max(docQual),0.0609,0.0466
min(docQual),0.0362,0.0276
avg(docQual),0.0666,0.0502
itg(docQual),0.0264,0.0199
max(Dale Chall),-0.0105,-0.0078
min(Dale Chall),0.0182,0.0137
avg(Dale Chall),0.0083,0.0063
itg(Dale Chall),0.011,0.0083
max(Spache),0.0002,0.0001
min(Spache),0.0156,0.0117
avg(Spache),0.0091,0.0067
itg(Spache),0.0086,0.0064
max(Flesch-Kincaid),-0.0353,-0.0265
min(Flesch-Kincaid),-0.0144,-0.0109
avg(Flesch-Kincaid),-0.0257,-0.0192
itg(Flesch-Kincaid),-0.024,-0.0178
max(Flesch),0.0165,0.0125
min(Flesch),0.0514,0.039
avg(Flesch),0.0301,0.0227
itg(Flesch),0.0293,0.0221
max(Gunning Fog),-0.0441,-0.0332
min(Gunning Fog),-0.0146,-0.0112
avg(Gunning Fog),-0.0447,-0.0337
itg(Gunning Fog),-0.0435,-0.0328
max(Coleman Liau),-0.0406,-0.0308
min(Coleman Liau),-0.0156,-0.0119
avg(Coleman Liau),-0.0296,-0.0225
itg(Coleman Liau),-0.0316,-0.0239
max(ARI),-0.0363,-0.0272
min(ARI),-0.0094,-0.0073
avg(ARI),-0.0316,-0.0238
itg(ARI),-0.028,-0.0209
max(Linsear Write),-0.0112,-0.0084
min(Linsear Write),0.0017,0.0013
avg(Linsear Write),-0.0145,-0.0107
itg(Linsear Write),-0.0135,-0.01
