retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries,with_0shot_posterior
bm25,3,spatial,2,0.0,0.3845251940076828,0.00010080028015697167,0.21993127147766325,0.0014156009702633058,97,False
bm25,3,spatial,2,0.0,0.3547549443101819,0.00036339273676425413,0.279639175257732,4.952017035250988e-05,97,True
bm25,3,a_ratio,2,0.0,0.31361970387000354,0.0017595769544369434,0.1207044673539519,0.07984982362376257,97,False
bm25,3,a_ratio,2,0.0,0.43816884295395087,7.1675504248435e-06,0.29252577319587636,2.187111894191921e-05,97,True
bm25,3,nqc,2,0.0,0.015030440035111404,0.8838251900266161,-0.02362542955326461,0.7317251099207628,97,False
bm25,3,nqc,2,0.0,0.12251005643370629,0.23191067066611573,0.04596219931271478,0.5047955105031363,97,True
bm25,3,bertQPP,2,0.0,0.25557308579511967,0.01151788193184543,0.1868556701030928,0.006698222213035896,97,False
bm25,3,bertQPP,2,0.0,0.3294099293087749,0.0009852047034422107,0.22465635738831619,0.0011140538745299275,97,True
bm25,3,bertQPP(QV),2,0.0,0.2474761609182837,0.014529302470978231,0.18556701030927839,0.00708575590459897,97,False
bm25,3,bertQPP(QV),2,0.0,0.3424837687388707,0.0005951626637122061,0.22079037800687287,0.0013557124652369783,97,True
bm25,3,spatial,2,0.05,0.38194582169822194,0.00011320496842230934,0.2173539518900344,0.0016102081655090619,97,False
bm25,3,spatial,2,0.05,0.35422721307981575,0.0003713382832248879,0.2822164948453609,4.216585457755637e-05,97,True
bm25,3,a_ratio,2,0.05,0.31623900616555123,0.001601591552623753,0.11769759450171824,0.08765026442852013,97,False
bm25,3,a_ratio,2,0.05,0.4349107012962222,8.527404912037905e-06,0.2985395189003437,1.4766332440304394e-05,97,True
bm25,3,nqc,2,0.05,0.015081828919350022,0.883430778324547,-0.022336769759450176,0.7458382926337936,97,False
bm25,3,nqc,2,0.05,0.12293379069342637,0.23028776415341848,0.04553264604810997,0.5087854171288679,97,True
bm25,3,bertQPP,2,0.05,0.25792403796694774,0.010752602572029868,0.19544673539518906,0.0045660596694361046,97,False
bm25,3,bertQPP,2,0.05,0.3354112358091334,0.000783847998303285,0.2328178694158076,0.0007289565212236814,97,True
bm25,3,bertQPP(QV),2,0.05,0.2503146615636338,0.013403785705931263,0.18256013745704472,0.00806936233603351,97,False
bm25,3,bertQPP(QV),2,0.05,0.3497667533461099,0.00044516184401806845,0.22336769759450176,0.0011897860106094835,97,True
bm25,3,spatial,2,0.1,0.37474639730759174,0.00015572306603465203,0.2216494845360825,0.001298168853613724,97,False
