retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries,with_0shot_posterior
bm25,5,spatial,2,0.0,0.45412229056944187,2.9820995657639655e-06,0.30670103092783507,8.563939402340346e-06,97,False
bm25,5,spatial,2,0.0,0.22820833626941991,0.02456287455950997,0.19501718213058422,0.004655971971265852,97,True
bm25,5,a_ratio,2,0.0,0.22804632733744928,0.02466756075598325,0.08247422680412372,0.23138680179907667,97,False
bm25,5,a_ratio,2,0.0,0.2851719203714454,0.004636664890929009,0.21993127147766325,0.0014156009702633058,97,True
bm25,5,nqc,2,0.0,0.05913464396572023,0.5650462151738195,0.025343642611683852,0.7130485680719618,97,False
bm25,5,nqc,2,0.0,0.16438145663854897,0.10762791038098832,0.10223367697594504,0.13793469449367568,97,True
bm25,5,bertQPP,2,0.0,0.13314168010722904,0.19356982445200369,0.1829896907216495,0.007921746820669876,97,False
bm25,5,bertQPP,2,0.0,0.1767895032284073,0.08322455616447204,0.21219931271477666,0.0020752134680172376,97,True
bm25,5,bertQPP(QV),2,0.0,0.1438789906603104,0.15972389474634976,0.19630584192439868,0.0043909374810577745,97,False
bm25,5,bertQPP(QV),2,0.0,0.1958615640903155,0.05452129508957215,0.22207903780068733,0.0012702502748310276,97,True
bm25,5,spatial,2,0.05,0.4493517058652433,3.894277538003993e-06,0.2985395189003437,1.4766332440304394e-05,97,False
bm25,5,spatial,2,0.05,0.2282332348000703,0.02454681936968983,0.19458762886597944,0.004747484369155047,97,True
bm25,5,a_ratio,2,0.05,0.23023371776399906,0.02328576590687986,0.0850515463917526,0.21713063766326968,97,False
bm25,5,a_ratio,2,0.05,0.28564310072478016,0.004566363228233209,0.22422680412371138,0.0011387880187863695,97,True
bm25,5,nqc,2,0.05,0.05922988964910952,0.5644186665247697,0.025773195876288665,0.708405677956768,97,False
bm25,5,nqc,2,0.05,0.16464819259205554,0.10705029858702227,0.10395189003436428,0.13143701983340042,97,True
bm25,5,bertQPP,2,0.05,0.13420207589021227,0.1900133204155018,0.1782646048109966,0.009686599012848096,97,False
bm25,5,bertQPP,2,0.05,0.18000193811423065,0.07768617236224651,0.20876288659793818,0.0024505203740822256,97,True
bm25,5,bertQPP(QV),2,0.05,0.1450720712356449,0.1562537936590768,0.19630584192439868,0.0043909374810577745,97,False
bm25,5,bertQPP(QV),2,0.05,0.19943188068470644,0.05017905542413216,0.2173539518900344,0.0016102081655090619,97,True
bm25,5,spatial,2,0.1,0.4430885223845383,5.494987832085929e-06,0.2998281786941581,1.3561366429704062e-05,97,False
bm25,5,spatial,2,0.1,0.2282580533099648,0.024530824684910527,0.19587628865979384,0.004477722918252414,97,True
bm25,5,a_ratio,2,0.1,0.23207617203722508,0.022173708351189328,0.08290378006872855,0.22896569995644822,97,False
bm25,5,a_ratio,2,0.1,0.28596721245065976,0.004518557798808762,0.22422680412371138,0.0011387880187863695,97,True
bm25,5,nqc,2,0.1,0.05933490625375388,0.5637271227528966,0.027061855670103097,0.6945424903122657,97,False
bm25,5,nqc,2,0.1,0.16494201378045945,0.10641683484180366,0.10395189003436428,0.13143701983340042,97,True
bm25,5,bertQPP,2,0.1,0.13519246885619496,0.186734606034931,0.18127147766323026,0.008527096049992753,97,False
bm25,5,bertQPP,2,0.1,0.1832980754007557,0.07231457393650324,0.2053264604810997,0.002887015591872923,97,True
bm25,5,bertQPP(QV),2,0.1,0.1461542987186988,0.1531550712292769,0.1898625429553265,0.005867063974983271,97,False
bm25,5,bertQPP(QV),2,0.1,0.20301804105894622,0.046108782648391446,0.21907216494845363,0.0014779202366871586,97,True
bm25,5,spatial,2,0.15,0.4350782403174073,8.451937023902163e-06,0.2933848797250859,2.0686822197476286e-05,97,False
bm25,5,spatial,2,0.15,0.22828227470715007,0.02451522338827807,0.19501718213058422,0.004655971971265852,97,True
bm25,5,a_ratio,2,0.15,0.2333795375896934,0.021414760740443316,0.06872852233676977,0.3186051074891699,97,False
bm25,5,a_ratio,2,0.15,0.286091394785944,0.0045003598582432506,0.22379725085910657,0.0011640289366746655,97,True
bm25,5,nqc,2,0.15,0.05945126140985063,0.5629613831245641,0.02405498281786942,0.7270405431127746,97,False
bm25,5,nqc,2,0.15,0.16526721412573622,0.1057191327888162,0.10438144329896909,0.12985027258664464,97,True
bm25,5,bertQPP,2,0.15,0.13606160918964585,0.18389135273496207,0.18041237113402064,0.008845012615594157,97,False
bm25,5,bertQPP,2,0.15,0.186626997574028,0.06719743164279307,0.1984536082474227,0.003979453005162126,97,True
bm25,5,bertQPP(QV),2,0.15,0.14705572461625624,0.1506093380241539,0.18341924398625434,0.007776554495134835,97,False
bm25,5,bertQPP(QV),2,0.15,0.2065334723963667,0.04238822080563045,0.21950171821305847,0.0014464512863097319,97,True
bm25,5,spatial,2,0.2,0.4250589177909707,1.4264996667402649e-05,0.288659793814433,2.804587392927909e-05,97,False
bm25,5,spatial,2,0.2,0.22830512741935913,0.024500511436036924,0.19329896907216498,0.0050318722795436996,97,True
bm25,5,a_ratio,2,0.2,0.2338873305986542,0.021125158223608234,0.07946735395189004,0.2488442983857856,97,False
bm25,5,a_ratio,2,0.2,0.28594678671011725,0.004521557304031929,0.2173539518900344,0.0016102081655090619,97,True
bm25,5,nqc,2,0.2,0.059580871851537494,0.5621089916319081,0.02362542955326461,0.7317251099207628,97,False
bm25,5,nqc,2,0.2,0.16562903013624558,0.10494707572968161,0.10524054982817871,0.12672143082539938,97,True
bm25,5,bertQPP,2,0.2,0.13673879529743127,0.18169801298084076,0.16838487972508595,0.01454739544260673,97,False
bm25,5,bertQPP,2,0.2,0.1899112487127213,0.06244036411088522,0.202319587628866,0.003325969220576063,97,True
bm25,5,bertQPP(QV),2,0.2,0.14768153703686315,0.14886072851965365,0.17396907216494847,0.011586707769612953,97,False
bm25,5,bertQPP(QV),2,0.2,0.2098544850598945,0.03910636616942172,0.21907216494845363,0.0014779202366871586,97,True
bm25,5,spatial,2,0.25,0.4127785012506511,2.649833465763883e-05,0.2719072164948454,7.957359852373424e-05,97,False
bm25,5,spatial,2,0.25,0.22832545930351913,0.024487428653307778,0.19286941580756015,0.005130036782382208,97,True
bm25,5,a_ratio,2,0.25,0.23327383006922717,0.021475473378444274,0.0850515463917526,0.21713063766326968,97,False
bm25,5,a_ratio,2,0.25,0.2854438798075913,0.004595970883389364,0.22079037800687287,0.0013557124652369783,97,True
bm25,5,nqc,2,0.25,0.05972610419687586,0.5611545913340019,0.021907216494845363,0.7505619727933218,97,False
bm25,5,nqc,2,0.25,0.1660339081385333,0.10408836099264417,0.10738831615120277,0.11915605807960761,97,True
bm25,5,bertQPP,2,0.25,0.13712813555078757,0.18044565865743462,0.1679553264604811,0.014800614099959652,97,False
bm25,5,bertQPP,2,0.25,0.1930376523172222,0.05817019056600139,0.19201030927835053,0.00533157487845821,97,True
bm25,5,bertQPP(QV),2,0.25,0.1479059553523367,0.14823740151028705,0.16838487972508595,0.01454739544260673,97,False
