retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries,with_0shot_posterior
mt5,8,spatial,2,0.0,0.19274488012588323,0.0599106231984477,0.15877192982456137,0.021927067591039504,97,False
mt5,8,spatial,2,0.0,0.2243602048789139,0.027979560821376273,0.1789473684210526,0.00979934996376251,97,True
mt5,8,a_ratio,2,0.0,0.07903100089858034,0.44403501709206855,-0.03640350877192982,0.5992851921378115,97,False
mt5,8,a_ratio,2,0.0,0.12132435493150004,0.23899008215428277,0.013596491228070173,0.8444188289548002,97,True
mt5,8,nqc,2,0.0,0.03565065607775346,0.7302164565615241,-0.03245614035087718,0.6394595858942697,97,False
mt5,8,nqc,2,0.0,0.06043654412515265,0.5585928213538034,-0.020614035087719293,0.766060437360897,97,True
mt5,8,bertQPP,2,0.0,0.2083538858119484,0.04163845623362605,0.17543859649122803,0.01133536481749997,97,False
mt5,8,bertQPP,2,0.0,0.23963396159986705,0.018695895271057486,0.21885964912280698,0.001583643031304207,97,True
mt5,8,bertQPP(QV),2,0.0,0.1698490967207207,0.098042408849046,0.13991228070175438,0.04344370723734423,97,False
mt5,8,bertQPP(QV),2,0.0,0.21902302623548703,0.0320351569933414,0.17982456140350875,0.009445580206528057,97,True
mt5,8,spatial,2,0.05,0.19887409091240638,0.052078399850806666,0.16052631578947366,0.0205064150417212,97,False
mt5,8,spatial,2,0.05,0.22465949706066446,0.02776565672754924,0.1776315789473684,0.010352157028285932,97,True
mt5,8,a_ratio,2,0.05,0.07949692291090311,0.4413450209679669,-0.03596491228070175,0.603692225651151,97,False
mt5,8,a_ratio,2,0.05,0.12181479000736242,0.2370825329664583,0.015350877192982452,0.8246514972992991,97,True
mt5,8,nqc,2,0.05,0.03946978008078822,0.7026050910300151,0.053508771929824554,0.4399267495231346,97,False
mt5,8,nqc,2,0.05,0.06569653846385268,0.5248106375715956,0.08552631578947366,0.21703863010225988,97,True
mt5,8,bertQPP,2,0.05,0.21391586535994317,0.036369397638805,0.17850877192982453,0.009980624249260547,97,False
mt5,8,bertQPP,2,0.05,0.2448971806977197,0.016181266353919983,0.2184210526315789,0.001618387245157851,97,True
mt5,8,bertQPP(QV),2,0.05,0.17569317393035191,0.08685420939616974,0.14342105263157892,0.03844648726633986,97,False
mt5,8,bertQPP(QV),2,0.05,0.224826060769606,0.02764721572042792,0.1846491228070175,0.007695938960913375,97,True
mt5,8,spatial,2,0.1,0.2051658825878857,0.04493527935970183,0.1644736842105263,0.017600127768823963,97,False
mt5,8,spatial,2,0.1,0.2249888543890983,0.027531870120255483,0.17719298245614032,0.010542498984637544,97,True
mt5,8,a_ratio,2,0.1,0.08001449382640596,0.43836762822808883,-0.03464912280701754,0.6169998397695846,97,False
mt5,8,a_ratio,2,0.1,0.12235882863200914,0.2349789079257405,0.017543859649122803,0.8000992472254054,97,True
mt5,8,nqc,2,0.1,0.043713374114184925,0.6723729304747676,0.07456140350877193,0.2818470721414411,97,False
mt5,8,nqc,2,0.1,0.07151983436364301,0.4886507339329197,0.10745614035087717,0.12091024044629245,97,True
mt5,8,bertQPP,2,0.1,0.21991180304552738,0.03132727059054846,0.17807017543859646,0.010164879433085774,97,False
