retriever,k,qpp_method,alpha,r,p1(r),tau,p1(tau),rho,p1(rho),num_of_queries,with_0shot_posterior
bm25,3,spatial,0.0,0.40198925798059704,4.477125184451868e-05,0.22293814432989695,0.0012160687743494618,0.3183778666105617,0.0014822398730571591,97,False
bm25,3,spatial,0.0,0.3467342493845626,0.0005028051937354304,0.2744845360824743,6.802769792638233e-05,0.39042446875657477,7.701946449869555e-05,97,True
bm25,3,a_ratio,0.0,0.3129793326708244,0.001800286427541263,0.12113402061855671,0.07878300963914868,0.1795707973911214,0.0784118442539328,97,False
bm25,3,a_ratio,0.0,0.4103451940320977,2.987276684101681e-05,0.19286941580756015,0.005130036782382208,0.28061224489795916,0.005368438551605388,97,True
bm25,3,nqc,0.0,0.07213117373430447,0.4826071284232371,-0.02362542955326461,0.7317251099207628,-0.024471386492741422,0.8119381880652234,97,False
bm25,3,nqc,0.0,0.14015241382629892,0.17093196150772832,0.04123711340206186,0.5495750194028222,0.06814117399537134,0.5072126488813203,97,True
bm25,3,bertQPP,0.0,0.32769060233221586,0.001051012585902941,0.1868556701030928,0.006698222213035896,0.2723280033662949,0.0069641306891237926,97,False
bm25,3,bertQPP,0.0,0.19017649268295356,0.062068450058123316,0.10738831615120277,0.11915605807960761,0.15667736166631602,0.1253816943659465,97,True
bm25,3,spatial,0.05,0.37256710183957237,0.00017125469897506793,0.20317869415807563,0.0031947282487263706,0.29161845150431304,0.0037537295590537693,97,False
bm25,3,spatial,0.05,0.3490869729934348,0.00045752851108841184,0.27233676975945026,7.752860694391557e-05,0.38616400168314746,9.358790146033205e-05,97,True
bm25,3,a_ratio,0.05,0.33743965156986616,0.0007248005308574811,0.12671821305841927,0.06594102788919391,0.19690195665895224,0.05322524672407996,97,False
bm25,3,a_ratio,0.05,0.41175097802189553,2.787725445205406e-05,0.1778350515463918,0.009863239446727635,0.26671312855038926,0.008271412440579712,97,True
bm25,3,nqc,0.05,0.07411799304980152,0.4705972374498081,-0.021907216494845363,0.7505619727933218,-0.019724384599200503,0.8479278979361641,97,False
bm25,3,nqc,0.05,0.1394660965395251,0.17305783552361076,0.04166666666666668,0.5454246199804633,0.06824637071323375,0.5065557040104217,97,True
bm25,3,bertQPP,0.05,0.3322571627600744,0.0008844348885332677,0.18814432989690724,0.00632984784895861,0.27236745213549335,0.00695563254833733,97,False
