retriever,k,qpp_method,alpha,r,p1(r),tau,p1(tau),rho,p1(rho),num_of_queries,with_0shot_posterior
bm25,3,spatial,0.0,0.48354613635025423,5.244144734968051e-07,0.24828178694158082,0.0003147483455907583,0.35618293709236265,0.0003426704889618091,97,False
bm25,3,spatial,0.0,0.15241883409985704,0.13611541596181834,0.14518900343642613,0.03513003275683934,0.19828266358089625,0.05154447292925237,97,True
bm25,3,a_ratio,0.0,0.19429506085356602,0.056521507850548096,0.0622852233676976,0.36608612957525455,0.10013412581527455,0.3291252395340497,97,False
bm25,3,a_ratio,0.0,0.2490807556710437,0.01388337866427912,0.10309278350515466,0.1346555631057889,0.1567957079739112,0.12509295331076808,97,True
bm25,3,nqc,0.0,0.0031798303105160016,0.9753398968510512,-0.08333333333333336,0.22656268559471548,-0.12350094677046075,0.22812801097308885,97,False
bm25,3,nqc,0.0,0.0375565604452105,0.7149449489422911,-0.04853951890034365,0.4812066051703042,-0.07551809383547232,0.46223245851615835,97,True
bm25,3,bertQPP,0.0,0.24253269889261553,0.016685865327232454,0.1254295532646048,0.06874005870255491,0.17876867241742056,0.07977637601959,97,False
bm25,3,bertQPP,0.0,0.20149419993743614,0.047803598976196696,0.09493127147766325,0.1683392012081001,0.13221912476330736,0.19670294240676267,97,True
bm25,3,spatial,0.05,0.4782766962998695,7.245647984646682e-07,0.256872852233677,0.0001933769855221948,0.3659399326741005,0.00022773274872885254,97,False
bm25,3,spatial,0.05,0.15702329170377008,0.12453912909476779,0.14304123711340208,0.037922646089534044,0.19745423942772983,0.052547608696941785,97,True
bm25,3,a_ratio,0.05,0.23551710148757277,0.020218245065715325,0.09536082474226806,0.16642177733641728,0.1460656427519461,0.15340717528339598,97,False
bm25,3,a_ratio,0.05,0.2828831570662517,0.0049920607717462194,0.11554982817869418,0.09358972367387966,0.18126709446665262,0.07558776394496299,97,True
bm25,3,nqc,0.05,0.0062046326731352314,0.9519032212042421,-0.07903780068728523,0.25141149497554627,-0.11628182200715337,0.25669002471369223,97,False
bm25,3,nqc,0.05,0.039477610978863015,0.7010386996322271,-0.046391752577319596,0.5008221569685896,-0.07131022512097622,0.48761701203755503,97,True
bm25,3,bertQPP,0.05,0.24969350859930492,0.013643382735905627,0.12500000000000003,0.06969448971824621,0.1798074900063118,0.07801278731852786,97,False
bm25,3,bertQPP,0.05,0.2048796139342987,0.044106219743232165,0.09407216494845362,0.1722237215768213,0.134349358300021,0.18952311535286423,97,True
bm25,3,spatial,0.1,0.4422144070292849,5.762391203211073e-06,0.2336769759450172,0.0006965926026270434,0.3419156322322743,0.0006086209424658854,97,False
bm25,3,spatial,0.1,0.16221057984747822,0.11241964702784964,0.147766323024055,0.03201236643126749,0.20108352619398273,0.04826906304527608,97,True
bm25,3,a_ratio,0.1,0.2738290866649802,0.00664715594552059,0.1314432989690722,0.05647001729864357,0.19074794866400166,0.06127330654170638,97,False
bm25,3,a_ratio,0.1,0.31200381966686147,0.0018639402189844245,0.14089347079037803,0.040901875311072,0.2078555649063749,0.04105524697341634,97,True
bm25,3,nqc,0.1,0.009582250868595741,0.9257820785301606,-0.07860824742268042,0.2539971105350425,-0.11501946139280453,0.26192500450759865,97,False
bm25,3,nqc,0.1,0.04161700038932048,0.6856673078353701,-0.04295532646048111,0.5330675016802799,-0.06823322112350094,0.5066377980358004,97,True
bm25,3,bertQPP,0.1,0.25748677407973247,0.010891477062999392,0.13015463917525774,0.058933277914773506,0.19082684620239848,0.061164180896864116,97,False
bm25,3,bertQPP,0.1,0.2084210433297183,0.04049588194120633,0.093213058419244,0.17617491386576734,0.13488849147906584,0.18773652381305195,97,True
bm25,3,spatial,0.15,0.40802730316966024,3.345722038617534e-05,0.22465635738831619,0.0011140538745299275,0.33207973911213967,0.0008904284319518785,97,False
bm25,3,spatial,0.15,0.1680905011823962,0.09981101035583526,0.14991408934707906,0.029598455953974822,0.20563328424153163,0.043316278915666064,97,True
bm25,3,a_ratio,0.15,0.30532964803045015,0.0023568701692384566,0.1512027491408935,0.028226597294347726,0.21866452766673677,0.03141392181088807,97,False
bm25,3,a_ratio,0.15,0.3299050450889348,0.0009669628125613426,0.15378006872852237,0.025646544632394585,0.22731695771091942,0.025143584921574334,97,True
bm25,3,nqc,0.15,0.01337645352385513,0.8965342082434119,-0.07903780068728523,0.25141149497554627,-0.11275773195876286,0.2714848361131576,97,False
bm25,3,nqc,0.15,0.0440125301661608,0.6686065007082902,-0.043814432989690726,0.5249088158491623,-0.06822007153376813,0.506719898943699,97,True
bm25,3,bertQPP,0.15,0.26597080542703144,0.008459489318204267,0.13101374570446736,0.05728140399891128,0.19767778245318743,0.052275352033630255,97,False
bm25,3,bertQPP,0.15,0.2120985430453015,0.037011218788634836,0.093213058419244,0.17617491386576734,0.13561171891436988,0.18535913226439762,97,True
bm25,3,spatial,0.2,0.38105272746834784,0.0001178203194042057,0.2134879725085911,0.0019486331283160838,0.3119345676414895,0.0018685354496386956,97,False
bm25,3,spatial,0.2,0.17479892278405196,0.08681143160690627,0.16194158075601378,0.018775672464210122,0.22146539027982326,0.029253564038527354,97,True
bm25,3,a_ratio,0.2,0.32749529017714707,0.001058735988054317,0.1512027491408935,0.028226597294347726,0.2263964864296234,0.025755481904218114,97,False
bm25,3,a_ratio,0.2,0.33272060687908667,0.0008689524960911994,0.14132302405498284,0.040290653027956765,0.21766515884704396,0.032216670315364904,97,True
bm25,3,nqc,0.2,0.01766681655509887,0.8636295922171005,-0.07431271477663232,0.2808725107935828,-0.10862876078266356,0.28953705753965403,97,False
bm25,3,nqc,0.2,0.04671073770421711,0.6495901403572579,-0.038659793814433,0.5747994088567128,-0.061171891436987154,0.5516958611814334,97,True
bm25,3,bertQPP,0.2,0.2752002004433692,0.006368850760061598,0.12800687285223372,0.06323660544752113,0.19912423732379547,0.050541617365087006,97,False
bm25,3,bertQPP,0.2,0.21587677108299722,0.03369639038051154,0.09536082474226806,0.16642177733641728,0.1410162002945508,0.16828381078086668,97,True
bm25,3,spatial,0.25,0.3603142512991032,0.00028868848595381354,0.20833333333333337,0.0025015666651811157,0.3025983589312013,0.002590412474676007,97,False
bm25,3,spatial,0.25,0.18250404532114342,0.0735803911050225,0.16451890034364264,0.016970096384742294,0.23011782032400588,0.023357283781315314,97,True
bm25,3,a_ratio,0.25,0.34010039172788914,0.0006535106855746893,0.1658075601374571,0.016125841537736958,0.24211024616031976,0.016882369051256663,97,False
bm25,3,a_ratio,0.25,0.3221193904417655,0.0012926894619246152,0.1396048109965636,0.042782883164389815,0.21698138018093832,0.032775829594119114,97,True
bm25,3,nqc,0.25,0.022553717408544283,0.8264345581519201,-0.07173539518900345,0.2978933833803449,-0.10388175888912264,0.3112531318846378,97,False
bm25,3,nqc,0.25,0.04976934678061131,0.6283028356714513,-0.038659793814433,0.5747994088567128,-0.060908899642331156,0.5534106734768378,97,True
bm25,3,bertQPP,0.25,0.2852181484215724,0.004629725098285763,0.138745704467354,0.04407710548149226,0.21290500736377024,0.036281619511664566,97,False
bm25,3,bertQPP,0.25,0.21969838091318705,0.030601309425942785,0.09579037800687287,0.16452082122278677,0.14835367136545338,0.1469997247787173,97,True
bm25,3,spatial,0.3,0.344206028395582,0.0005560131426698779,0.20489690721649487,0.002946303078171719,0.2967204923206396,0.0031649846232214003,97,False
