retriever,k,qpp_method,alpha,r,p1(r),tau,p1(tau),rho,p1(rho),num_of_queries,with_0shot_posterior
e5,3,spatial,0.0,0.3073282664885327,0.002198185150700404,0.1628006872852234,0.018155972846842318,0.23733694508731326,0.019245264283453883,97,False
e5,3,spatial,0.0,0.07906974027926825,0.44138433113118,0.057130584192439875,0.4070878413580533,0.07650431306543236,0.456389747828958,97,True
e5,3,a_ratio,0.0,0.010434445051008894,0.9192028735826537,-0.0012886597938144332,0.9850805012640036,-0.0053255838417841355,0.9587109069197994,97,False
e5,3,a_ratio,0.0,0.03975117595159327,0.6990662634625371,0.005154639175257733,0.940374133088132,0.00625920471281296,0.9514807035368184,97,True
e5,3,nqc,0.0,-0.04361161992487042,0.6714503397285233,-0.02362542955326461,0.7317251099207628,-0.033623500946770454,0.7437037407242267,97,False
e5,3,nqc,0.0,-0.06928231901130556,0.5001098827611121,-0.02920962199312715,0.6716645680851198,-0.039830107300652215,0.6984975296847444,97,True
e5,3,bertQPP,0.0,0.1417289007887169,0.1661217706860484,0.09965635738831616,0.14814179266855426,0.14806438039133177,0.1477985551853285,97,False
e5,3,bertQPP,0.0,0.14469224589666332,0.1573523625510195,0.09664948453608249,0.16076803875264556,0.13922785609088995,0.17380031656704364,97,True
e5,3,spatial,0.05,0.33516104791439716,0.0007914276374444913,0.1859965635738832,0.006954397086601862,0.2715127288028613,0.007141825549738732,97,False
e5,3,spatial,0.05,0.08487372688078612,0.4084832627211299,0.056701030927835065,0.41062402699366984,0.07801651588470439,0.44751082084769656,97,True
e5,3,a_ratio,0.05,0.19284272210214737,0.05842926379480664,0.1314432989690722,0.05647001729864357,0.20289816957710918,0.046240273878568175,97,False
e5,3,a_ratio,0.05,0.1863833524880748,0.06756172642640666,0.12285223367697597,0.07463114343880432,0.18669787502629914,0.06709175589977613,97,True
e5,3,nqc,0.05,-0.03952497184571887,0.7006970796983979,-0.017611683848797254,0.7982864258103413,-0.029336734693877545,0.7754533092116719,97,False
e5,3,nqc,0.05,-0.06641037649516984,0.5180842382069865,-0.026202749140893475,0.7037735989090746,-0.034202082895013676,0.7394498674068857,97,True
e5,3,bertQPP,0.05,0.15261365257425452,0.13560960692265364,0.1086769759450172,0.11478963120763813,0.16159530822638332,0.11380739503599258,97,False
e5,3,bertQPP,0.05,0.15343709382652482,0.13348746801445166,0.1048109965635739,0.1282784361242476,0.14788028613507256,0.14830859881110142,97,True
e5,3,spatial,0.1,0.33141308308830664,0.0009132813285256462,0.1971649484536083,0.004221925130091803,0.28485956238165366,0.004683799731201256,97,False
e5,3,spatial,0.1,0.09151883025886787,0.37263740075413343,0.06056701030927836,0.3794578311122522,0.08574847464759099,0.40365237097390316,97,True
e5,3,a_ratio,0.1,0.2545898841520395,0.01185177933853234,0.1585051546391753,0.021443192891173694,0.23352356406480113,0.021332276541259285,97,False
e5,3,a_ratio,0.1,0.20417167463304065,0.044859092408488566,0.11941580756013748,0.08312087785946547,0.1806885125184094,0.07654168958028017,97,True
e5,3,nqc,0.1,-0.03494566232375608,0.7339944080907007,-0.016323024054982822,0.8127611296549226,-0.026601620029455077,0.7959092217289412,97,False
e5,3,nqc,0.1,-0.06323290171933997,0.5383469170756329,-0.02491408934707904,0.7177021136751226,-0.032703029665474434,0.7504871117768473,97,True
e5,3,bertQPP,0.1,0.16450079258822597,0.10736919106680941,0.1164089347079038,0.09117630712765404,0.1729302545760572,0.0902893707664868,97,False
e5,3,bertQPP,0.1,0.16254037874974855,0.11168120871740428,0.11597938144329899,0.09237668593402237,0.16202924468756572,0.11282727771632908,97,True
e5,3,spatial,0.15,0.3239248129002069,0.0012093442676908614,0.18943298969072167,0.005979808014005902,0.2770487060803703,0.006009996694554813,97,False
e5,3,spatial,0.15,0.09919052779675692,0.3337262973124334,0.06829896907216496,0.32163912125241456,0.09595255628024404,0.3498235270448915,97,True
e5,3,a_ratio,0.15,0.27324435290039756,0.006769080194018694,0.16881443298969073,0.014298004272030715,0.2506837786661056,0.013263146685172087,97,False
e5,3,a_ratio,0.15,0.19968938411715242,0.04987723590221613,0.1202749140893471,0.08092834885233069,0.17549442457395328,0.08554448503337898,97,True
e5,3,nqc,0.15,-0.0297832096123435,0.7721282292931599,-0.010738831615120277,0.8761649965497997,-0.019395644855880495,0.8504327563965539,97,False
e5,3,nqc,0.15,-0.05970117371938932,0.561318368110195,-0.02362542955326461,0.7317251099207628,-0.03299232063959604,0.7483531210167846,97,True
e5,3,bertQPP,0.15,0.1774560797584166,0.0820501945866415,0.12800687285223372,0.06323660544752113,0.18594834841152952,0.06821611354505865,97,False
e5,3,bertQPP,0.15,0.1718793130763304,0.09229330842631217,0.11812714776632303,0.08649966115997804,0.16576372817168103,0.10466077952232516,97,True
e5,3,spatial,0.2,0.3172663727648975,0.0015432171769621337,0.18728522336769762,0.006573343269072617,0.27699610772143907,0.006019954582800341,97,False
e5,3,spatial,0.2,0.10812804069630746,0.2917791089189016,0.07431271477663232,0.2808725107935828,0.10786608457816114,0.2929566202919445,97,True
e5,3,a_ratio,0.2,0.2802284119882317,0.00543448740629854,0.1701030927835052,0.013572314777054699,0.2541289711760993,0.012011193200018689,97,False
e5,3,a_ratio,0.2,0.19498597236693868,0.05563202029112497,0.10910652920962201,0.11336246240953972,0.16385703766042498,0.10877060871294063,97,True
e5,3,nqc,0.2,-0.02392487057058268,0.8160632729860455,-0.00859106529209622,0.9007879306638119,-0.020224069009046917,0.8441234143005316,97,False
e5,3,nqc,0.2,-0.05575623574071961,0.5875163360806639,-0.021907216494845363,0.7505619727933218,-0.0313749211024616,0.7603079706581084,97,True
e5,3,bertQPP,0.2,0.19151954609080368,0.06021287108105602,0.13788659793814437,0.04540422310195199,0.20149116347569954,0.047807026876977826,97,False
e5,3,bertQPP,0.2,0.18127308941028197,0.07557793011319552,0.11855670103092786,0.08536128644887009,0.1734430885756364,0.0893240869040461,97,True
e5,3,spatial,0.25,0.3118857996757989,0.0018717775992273657,0.18213058419243988,0.008219435652041644,0.27198611403324213,0.00703816649253552,97,False
e5,3,spatial,0.25,0.11864211731287726,0.2470947954635618,0.08634020618556702,0.2102443337075397,0.1246581106669472,0.2237656198478592,97,True
