retriever,k,qpp_method,alpha,r,p1(r),tau,p1(tau),rho,p1(rho),num_of_queries,with_0shot_posterior
mt5,3,spatial,0.0,0.34101086557354615,0.0006306297630945467,0.2203608247422681,0.0013853583021557498,0.2925915211445403,0.00363440894946541,97,False
mt5,3,spatial,0.0,0.2604298818052109,0.00998624051097196,0.1971649484536083,0.004221925130091803,0.28872554176309695,0.0041294298865194754,97,True
mt5,3,a_ratio,0.0,0.08527931771745476,0.4062391430936122,-0.01202749140893471,0.8614470077832815,-0.01765989901115085,0.8636824743936119,97,False
mt5,3,a_ratio,0.0,0.1312399092447289,0.20006829386700145,0.01975945017182131,0.7743175870264136,0.026088786029875865,0.7997605807793303,97,True
mt5,3,nqc,0.0,-0.10273269140706315,0.31666466930992504,-0.07946735395189004,0.2488442983857856,-0.11622922364822215,0.2569067111380556,97,False
mt5,3,nqc,0.0,-0.19020446172682712,0.06202933838174965,-0.1658075601374571,0.016125841537736958,-0.24264937933936462,0.016631941001660475,97,True
mt5,3,bertQPP,0.0,0.2892512209631506,0.004058760948632068,0.16838487972508595,0.01454739544260673,0.24527929728592465,0.01545583913551155,97,False
mt5,3,bertQPP,0.0,0.21004143359680955,0.038928119084827906,0.08419243986254298,0.22181074839562664,0.13022038712392173,0.2036159261528406,97,True
mt5,3,spatial,0.05,0.3239788021125551,0.0012069288998659388,0.1786941580756014,0.00951278395726825,0.25673258994319376,0.011134693492400004,97,False
mt5,3,spatial,0.05,0.2641655828848067,0.00893265145297406,0.1971649484536083,0.004221925130091803,0.28829160530191456,0.0041885911450965825,97,True
mt5,3,a_ratio,0.05,0.08836475941891864,0.3894059785203381,-0.007302405498281788,0.9156092108578661,-0.012912897117609928,0.9001009498297137,97,False
mt5,3,a_ratio,0.05,0.1324176831790528,0.1960255448645615,0.017611683848797254,0.7982864258103413,0.023577214390911004,0.8186899911770678,97,True
mt5,3,nqc,0.05,-0.10131615123048648,0.3234189620015375,-0.08118556701030928,0.23875904036666062,-0.11892488954344624,0.24596205847185684,97,False
mt5,3,nqc,0.05,-0.18988871914120004,0.06247203753846171,-0.16365979381443302,0.01755425786967657,-0.24176835682726697,0.017042859021460834,97,True
mt5,3,bertQPP,0.05,0.29747527004822666,0.0030853082048383205,0.16881443298969073,0.014298004272030715,0.24879023774458234,0.013998441385071538,97,False
mt5,3,bertQPP,0.05,0.21140347418475935,0.037649866638881764,0.08977663230240551,0.19265661141875967,0.13874132127077635,0.1753238822672694,97,True
mt5,3,spatial,0.1,0.29580127239356563,0.003264509471812673,0.154639175257732,0.024833107958687445,0.23688985903639806,0.01948048919983942,97,False
mt5,3,spatial,0.1,0.26829481491218404,0.00788290826827359,0.19759450171821308,0.0041396512632380965,0.28875184094256257,0.004125868454776289,97,True
mt5,3,a_ratio,0.1,0.09179179545919955,0.37120718957380805,-0.005584192439862544,0.9354157588836661,-0.011111403324216281,0.9139803995072899,97,False
mt5,3,a_ratio,0.1,0.13370563833443913,0.19167239986397178,0.018470790378006877,0.7886746705788532,0.024339890595413423,0.8129302503209382,97,True
mt5,3,nqc,0.1,-0.09972669407058543,0.3311069226198642,-0.08161512027491409,0.23628343229817084,-0.1174126867241742,0.25206145480600783,97,False
mt5,3,nqc,0.1,-0.18952289930650537,0.06298816161085256,-0.16623711340206188,0.015852745291372216,-0.24438512518409425,0.015847365280277553,97,True
mt5,3,bertQPP,0.1,0.3063106299950642,0.002277736768728046,0.17568728522336774,0.01079019991112942,0.2595729013254786,0.01024276391683975,97,False
mt5,3,bertQPP,0.1,0.21247103816688775,0.03667271294535851,0.09450171821305844,0.17027316035268703,0.14343572480538608,0.16102765067130606,97,True
mt5,3,spatial,0.15,0.2734181924416469,0.00673262754062201,0.14218213058419246,0.039091423487606906,0.22605459709657058,0.025985963442815018,97,False
mt5,3,spatial,0.15,0.2728678722173665,0.0068486238576923,0.20489690721649487,0.002946303078171719,0.2989559225752156,0.0029342153462995992,97,True
mt5,3,a_ratio,0.15,0.09561705781936479,0.35151869790005047,0.0012886597938144332,0.9850805012640036,-0.004536608457816116,0.964823568593195,97,False
mt5,3,a_ratio,0.15,0.13511668211786138,0.1869840366730917,0.023195876288659798,0.7364196981955502,0.026917210183042283,0.793541577884242,97,True
mt5,3,nqc,0.15,-0.09793116493424486,0.3399303349456957,-0.07946735395189004,0.2488442983857856,-0.11642646749421416,0.2560947810548472,97,False
mt5,3,nqc,0.15,-0.18909554906661463,0.06359548441889415,-0.16838487972508595,0.01454739544260673,-0.24747527877130232,0.014529664627839316,97,True
mt5,3,bertQPP,0.15,0.31575078918602323,0.0016300267248668336,0.18341924398625434,0.007776554495134835,0.2704870608037029,0.007371058525325927,97,False
mt5,3,bertQPP,0.15,0.21310372403343486,0.03610370700101137,0.09493127147766325,0.1683392012081001,0.14419840100988845,0.15878931042498115,97,True
mt5,3,spatial,0.2,0.25695327816395297,0.011063037266123536,0.13487972508591067,0.050317249987351625,0.21369398274773826,0.03557955446748638,97,False
mt5,3,spatial,0.2,0.2779365835716882,0.005844094095250973,0.20575601374570449,0.0028288190417010725,0.3012571007784557,0.002712551998321692,97,True
mt5,3,a_ratio,0.2,0.099909330555403,0.33021767059802637,0.006013745704467355,0.930459888527551,0.0014990532295392383,0.9883731804367484,97,False
mt5,3,a_ratio,0.2,0.1366644232450764,0.181937958788335,0.025773195876288665,0.708405677956768,0.02852146013044393,0.7815354153727427,97,True
mt5,3,nqc,0.2,-0.09588752058003677,0.35015173295858004,-0.08161512027491409,0.23628343229817084,-0.1177808752366926,0.2505669138866547,97,False
mt5,3,nqc,0.2,-0.1885917297949782,0.06431758558781994,-0.16752577319587633,0.015057708996420909,-0.24626551651588469,0.015033750953535617,97,True
mt5,3,bertQPP,0.2,0.32574741901332227,0.0011301887881540254,0.18857388316151205,0.006211170636578692,0.2768383126446454,0.0060499160681985135,97,False
mt5,3,bertQPP,0.2,0.21311787894234427,0.03609106197941763,0.09965635738831616,0.14814179266855426,0.14994477172312223,0.1426641345191847,97,True
mt5,3,spatial,0.25,0.24471457634473695,0.015702123013704765,0.13058419243986258,0.05810246319620013,0.21038028613507256,0.03860676941350675,97,False
mt5,3,spatial,0.25,0.2835481331688189,0.0048863862589099616,0.21563573883161516,0.0017533187111864498,0.314735430254576,0.0016906333034569577,97,True
mt5,3,a_ratio,0.25,0.10475250195432652,0.3071925841161684,0.007731958762886599,0.9106652645488371,0.0046155059962129175,0.9642122050171988,97,False
mt5,3,a_ratio,0.25,0.13836223125573938,0.17651776842462627,0.028350515463917533,0.680780730027897,0.032019250999368816,0.755538537809202,97,True
mt5,3,nqc,0.25,-0.09354170375655117,0.36211831830806784,-0.08204467353951891,0.23382603249144784,-0.117623080159899,0.2512066842006314,97,False
mt5,3,nqc,0.25,-0.18799166911636755,0.0651863009430298,-0.1701030927835052,0.013572314777054699,-0.24859299389859033,0.014077033207652094,97,True
mt5,3,bertQPP,0.25,0.3361847042166063,0.0007608325712421837,0.19759450171821308,0.0041396512632380965,0.2810987797180728,0.005285742703453139,97,False
mt5,3,bertQPP,0.25,0.21228013249365313,0.03684587327918577,0.0970790378006873,0.15891607395046403,0.14481643172733008,0.1569925478964598,97,True
mt5,3,spatial,0.3,0.23537919561434872,0.020293668298094855,0.12285223367697597,0.07463114343880432,0.20159636019356192,0.04768838737194277,97,False
mt5,3,spatial,0.3,0.2897318154836481,0.003995100219446745,0.21262886597938147,0.002032205430312129,0.3130522827687776,0.0017956062593721266,97,True
