retriever,k,qpp_method,alpha,r,p1(r),tau,p1(tau),rho,p1(rho),num_of_queries,with_0shot_posterior
mt5,3,spatial,0.0,0.503875272177211,1.430338748233162e-07,0.3371993127147767,9.92383867577947e-07,0.45543604039553964,2.7688258224716186e-06,97,False
mt5,3,spatial,0.0,0.07762636869856802,0.44979228100397706,0.03565292096219932,0.6049019912656891,0.05393961708394698,0.5997646293186665,97,True
mt5,3,a_ratio,0.0,-0.02692960832366899,0.793448601698,-0.09278350515463919,0.1781756748775648,-0.12774826425415525,0.21240473970373733,97,False
mt5,3,a_ratio,0.0,-0.014118296622459052,0.8908305539673056,-0.09106529209621994,0.18634796497677564,-0.12532873974332,0.22126445564080807,97,True
mt5,3,nqc,0.0,-0.12808559981523182,0.2111898205779614,-0.08204467353951891,0.23382603249144784,-0.11553229539238376,0.2597896048449921,97,False
mt5,3,nqc,0.0,-0.14504106265047265,0.15634326459024686,-0.09793814432989692,0.1552606461818409,-0.1372028192720387,0.18020615352370845,97,True
mt5,3,bertQPP,0.0,0.2210644993971277,0.029554842715848375,0.10738831615120277,0.11915605807960761,0.1490505996212918,0.14508861700744474,97,False
mt5,3,bertQPP,0.0,0.2151140710007148,0.03434463061492927,0.08333333333333336,0.22656268559471548,0.11975331369661266,0.2426641756596184,97,True
mt5,3,spatial,0.05,0.5285897321795288,2.619463559763766e-08,0.33505154639175266,1.1621959608701606e-06,0.47488428361035134,8.896809364540142e-07,97,False
mt5,3,spatial,0.05,0.08584838523140635,0.4031027541714857,0.03565292096219932,0.6049019912656891,0.057227014517147054,0.5776840769408783,97,True
mt5,3,a_ratio,0.05,-0.02107520512970813,0.8376513347177141,-0.08719931271477664,0.2057421374120063,-0.1216863033873343,0.23508848132457288,97,False
mt5,3,a_ratio,0.05,-0.009110556229404635,0.9294258856852995,-0.08977663230240551,0.19265661141875967,-0.12372448979591835,0.22728066395032312,97,True
mt5,3,nqc,0.05,-0.12492627082109602,0.22276311849959557,-0.08204467353951891,0.23382603249144784,-0.1144934778034925,0.26412752409846235,97,False
mt5,3,nqc,0.05,-0.14235299736843776,0.16424546158633527,-0.09493127147766325,0.1683392012081001,-0.13511203450452344,0.1869993408561644,97,True
mt5,3,bertQPP,0.05,0.23611042376877167,0.019896485453841217,0.11383161512027494,0.0985701799206937,0.16230538607195452,0.11220698363015001,97,False
mt5,3,bertQPP,0.05,0.22868177819196364,0.024259116379819368,0.10266323024054985,0.13628751627610397,0.14410635388175888,0.1590582185675626,97,True
mt5,3,spatial,0.1,0.5122454619367192,8.171092504173324e-08,0.3204467353951891,3.318643672399884e-06,0.46625815274563426,1.4848219270920466e-06,97,False
mt5,3,spatial,0.1,0.09517306687426769,0.3537699060012312,0.038659793814433,0.5747994088567128,0.06477487902377445,0.5284650947474552,97,True
mt5,3,a_ratio,0.1,-0.014526742107961076,0.8876925768295073,-0.0854810996563574,0.2148174024411691,-0.11574268882810856,0.2589169843810661,97,False
mt5,3,a_ratio,0.1,-0.003477748431795482,0.9730303222173431,-0.08462199312714778,0.2194617374170329,-0.11655796339154217,0.25555446991023933,97,True
mt5,3,nqc,0.1,-0.12138931239013231,0.23624159609124884,-0.07903780068728523,0.25141149497554627,-0.11092993898590364,0.2793802933154109,97,False
mt5,3,nqc,0.1,-0.13935816193138495,0.17339392621728433,-0.09407216494845362,0.1722237215768213,-0.13315274563433618,0.19353246465958004,97,True
mt5,3,bertQPP,0.1,0.25268777989994745,0.012521781133078561,0.13015463917525774,0.058933277914773506,0.18279244687565743,0.07311858423368539,97,False
mt5,3,bertQPP,0.1,0.24327969402131597,0.016343235191709188,0.11941580756013748,0.08312087785946547,0.16681569535030502,0.10244580421359652,97,True
mt5,3,spatial,0.15,0.49272478416976456,2.94737200832526e-07,0.3079896907216495,7.848402331985934e-06,0.4557253313696612,2.723838097004872e-06,97,False
mt5,3,spatial,0.15,0.10582018439046563,0.30226097536287666,0.050257731958762895,0.4658203551040343,0.08000210393435725,0.43600055423852546,97,True
mt5,3,a_ratio,0.15,-0.007159095549970282,0.9445154257825036,-0.07689003436426119,0.26452436355398434,-0.1063801809383547,0.29969520130972543,97,False
mt5,3,a_ratio,0.15,0.0028989925190759658,0.9775172449250064,-0.07560137457044674,0.27261459721837655,-0.10669577109194192,0.29825555753741884,97,True
mt5,3,nqc,0.15,-0.1174038421617923,0.25209743148399916,-0.07603092783505157,0.269899250718855,-0.10756364401430674,0.2943200112108767,97,False
mt5,3,nqc,0.15,-0.13600186673392078,0.18408577494340228,-0.09106529209621994,0.18634796497677564,-0.13074637071323372,0.20178007398645215,97,True
mt5,3,bertQPP,0.15,0.2709475750488578,0.007267343910482486,0.1439003436426117,0.036783724578164194,0.20455501788344202,0.044450104853899094,97,False
mt5,3,bertQPP,0.15,0.2588887452098214,0.010451680292507023,0.12757731958762888,0.06412770883743656,0.1769014306753629,0.08302643382435455,97,True
mt5,3,spatial,0.2,0.4764532465155878,8.09317523367322e-07,0.2998281786941581,1.3561366429704062e-05,0.4435093625078897,5.370457018169466e-06,97,False
mt5,3,spatial,0.2,0.11806494218079662,0.24941800578199008,0.05884879725085912,0.3931257746774063,0.08995634336208708,0.38088859779825635,97,True
mt5,3,a_ratio,0.2,0.001182971475012052,0.9908246242733569,-0.06786941580756015,0.3246919364895129,-0.09766200294550809,0.34126569269331586,97,False
mt5,3,a_ratio,0.2,0.010168726326489026,0.9212537420983398,-0.06701030927835053,0.3308539585593422,-0.09685987797180727,0.3452647354002327,97,True
mt5,3,nqc,0.2,-0.11288039022244141,0.27096043321253804,-0.07646048109965638,0.26720251399217865,-0.10778718703976434,0.2933118845902347,97,False
mt5,3,nqc,0.2,-0.1322158778035324,0.19671403366524995,-0.08848797250859108,0.19912082868170233,-0.1260651167683568,0.21854086567293515,97,True
mt5,3,bertQPP,0.2,0.2910226302984373,0.0038285088549229415,0.15678694158075604,0.022896601370035064,0.22136019356196085,0.02933236901230026,97,False
mt5,3,bertQPP,0.2,0.2754236554574959,0.006324485803103416,0.14604810996563578,0.03406318246416719,0.20718493583000208,0.04172696120864895,97,True
mt5,3,spatial,0.25,0.4635955631847086,1.7342714823841165e-06,0.29553264604811,1.7987380341900968e-05,0.4370134651798864,7.624544405802473e-06,97,False
mt5,3,spatial,0.25,0.13225261995867363,0.19658855279730844,0.07302405498281789,0.28929863271816614,0.11219229960025247,0.27391107999810616,97,True
