retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries,with_0shot_posterior
tct,15,spatial,2,0.0,0.001031152290801668,0.992002124147356,0.0047250859106529215,0.9453348196600103,97,False
tct,15,spatial,2,0.0,0.2953766711670677,0.0033114216298913393,0.21134020618556704,0.0021637443470699886,97,True
tct,15,a_ratio,2,0.0,0.0742925312543235,0.46955000831987603,0.0584192439862543,0.3965888091618368,97,False
tct,15,a_ratio,2,0.0,0.2989609511862503,0.0029337137300729835,0.20317869415807563,0.0031947282487263706,97,True
tct,15,nqc,2,0.0,0.13114536992369352,0.20039538169504273,0.08118556701030928,0.23875904036666062,97,False
tct,15,nqc,2,0.0,0.24531714128573828,0.015439455037316805,0.15721649484536085,0.02252544814571104,97,True
tct,15,bertQPP,2,0.0,0.19877034806861155,0.050961349322358296,0.13917525773195877,0.0434259212403691,97,False
tct,15,bertQPP,2,0.0,0.26889251920477364,0.007740338418006101,0.17955326460481102,0.009173476196585428,97,True
tct,15,bertQPP(QV),2,0.0,0.1439917408623359,0.1593935249494607,0.09664948453608249,0.16076803875264556,97,False
tct,15,bertQPP(QV),2,0.0,0.22388561962977627,0.02748941541256161,0.15678694158075604,0.022896601370035064,97,True
tct,15,spatial,2,0.05,0.014535967071790654,0.8876217237208155,0.010738831615120277,0.8761649965497997,97,False
tct,15,spatial,2,0.05,0.2961893970977021,0.003222149584818667,0.21176975945017185,0.0021190549684448486,97,True
tct,15,a_ratio,2,0.05,0.10948698679867434,0.2857208409595499,0.08161512027491409,0.23628343229817084,97,False
tct,15,a_ratio,2,0.05,0.30578970415102985,0.0023194552128670805,0.20833333333333337,0.0025015666651811157,97,True
tct,15,nqc,2,0.05,0.13254367487741522,0.195596587658537,0.08247422680412372,0.23138680179907667,97,False
tct,15,nqc,2,0.05,0.2466514568416624,0.014871314665585875,0.15592783505154642,0.023654871935139845,97,True
tct,15,bertQPP,2,0.05,0.20952093796314142,0.039426082608324246,0.1434707903780069,0.037349490378258986,97,False
tct,15,bertQPP,2,0.05,0.2797169991544667,0.005523611152213088,0.1902920962199313,0.005756239608165468,97,True
tct,15,bertQPP(QV),2,0.05,0.15447678316506103,0.1308442611862605,0.10180412371134022,0.13959717520298046,97,False
tct,15,bertQPP(QV),2,0.05,0.23470830156739736,0.020664047944744104,0.16151202749140894,0.01909240321886764,97,True
tct,15,spatial,2,0.1,0.029307659174376055,0.7756699877004023,0.018041237113402064,0.7934766269227447,97,False
tct,15,spatial,2,0.1,0.2970865811815726,0.0031261116474621377,0.21434707903780073,0.0018682268943729797,97,True
tct,15,a_ratio,2,0.1,0.14535894228186652,0.15542787911957415,0.09579037800687287,0.16452082122278677,97,False
tct,15,a_ratio,2,0.1,0.31294520338180815,0.001802479803470397,0.21262886597938147,0.002032205430312129,97,True
tct,15,nqc,2,0.1,0.1340943782670293,0.1903723554135822,0.0854810996563574,0.2148174024411691,97,False
tct,15,nqc,2,0.1,0.2481263807252423,0.014264482437362513,0.15678694158075604,0.022896601370035064,97,True
tct,15,bertQPP,2,0.1,0.22131147336191492,0.02936892714482349,0.14475945017182132,0.035674068768179766,97,False
tct,15,bertQPP,2,0.1,0.2914050886752866,0.003780356438344075,0.19974226804123715,0.0037496927052216027,97,True
tct,15,bertQPP(QV),2,0.1,0.16599951848285593,0.10416108462237016,0.10652920962199315,0.12213859984356254,97,False
tct,15,bertQPP(QV),2,0.1,0.24638620381494086,0.014982791067934135,0.1752577319587629,0.010984624932232429,97,True
tct,15,spatial,2,0.15,0.045454225764002654,0.6584187542785221,0.02491408934707904,0.7177021136751226,97,False
tct,15,spatial,2,0.15,0.2980820604782065,0.0030225639007322048,0.21434707903780073,0.0018682268943729797,97,True
tct,15,a_ratio,2,0.15,0.18072067138973943,0.07648841595483712,0.10352233676975947,0.1330387570764664,97,False
tct,15,a_ratio,2,0.15,0.32042436288805665,0.0013756517095127932,0.21520618556701035,0.0017908788065225548,97,True
tct,15,nqc,2,0.15,0.13582372434974935,0.18466639978530003,0.08676975945017183,0.2079844017382293,97,False
tct,15,nqc,2,0.15,0.2497652491554475,0.013615521454849027,0.15678694158075604,0.022896601370035064,97,True
tct,15,bertQPP,2,0.15,0.23425476261971503,0.02091770544263365,0.15206185567010314,0.02734277211201925,97,False
tct,15,bertQPP,2,0.15,0.3040106598100858,0.002467172854394514,0.20704467353951894,0.0026605976928076114,97,True
tct,15,bertQPP(QV),2,0.15,0.17868002739065741,0.07992833252433089,0.11254295532646051,0.10244263799035044,97,False
